State Name ,District Name,Urban Local Bodies (Municipality/Munipal Corparation/Nac,Block,Rural Local Bodies (Gp/Ward),Total_IGNDPS
Odisha ,Baleshwar,NA,Basta,Kudia,0.84
Odisha ,Baleshwar,NA,Basta,Karua,0.84
Odisha ,Baleshwar,NA,Basta,Patrajhada,1.27
Odisha ,Baleshwar,NA,Basta,Barunagadia,0.21
Odisha ,Baleshwar,NA,Basta,Basuchakurai,1.89
Odisha ,Baleshwar,NA,Basta,Dudhahansha,1.05
Odisha ,Baleshwar,NA,Basta,Kadrayan,1.18
Odisha ,Baleshwar,NA,Basta,Kainagiri,0.42
Odisha ,Baleshwar,NA,Basta,Vellora,1.05
Odisha ,Baleshwar,NA,Basta,Total,45.42
Odisha ,Baleshwar,NA,Bhograi,Nahara,1.02
Odisha ,Baleshwar,NA,Bhograi,Kharidpipal,0.25
Odisha ,Baleshwar,NA,Bhograi,Mahagab,2.18
Odisha ,Baleshwar,NA,Bhograi,Sradhapur,1.39
Odisha ,Baleshwar,NA,Bhograi,Putina,2.54
Odisha ,Baleshwar,NA,Bhograi,Kakhada,1.13
Odisha ,Baleshwar,NA,Bhograi,N. M. Padia,2.52
Odisha ,Baleshwar,NA,Bhograi,Khanthibhanuri,0.86
Odisha ,Baleshwar,NA,Bhograi,Kamarda,1.76
Odisha ,Baleshwar,NA,Bhograi,Bhograi,0.62
Odisha ,Baleshwar,NA,Bhograi,Jayrampur,2
Odisha ,Baleshwar,NA,Bhograi,Soharia,0.66
Odisha ,Baleshwar,NA,Bhograi,Gunasartha,1.55
Odisha ,Baleshwar,NA,Bhograi,Baunsadiha,2.61
Odisha ,Baleshwar,NA,Bhograi,Balim,0.63
Odisha ,Baleshwar,NA,Bhograi,Gopinathapur,2.65
Odisha ,Baleshwar,NA,Bhograi,Deula,1.8
Odisha ,Baleshwar,NA,Bhograi,Guneibasan,3.32
Odisha ,Baleshwar,NA,Bhograi,Hooguli,1.38
Odisha ,Baleshwar,NA,Bhograi,Dahunda,0.67
Odisha ,Baleshwar,NA,Bhograi,Mandarsahi,4.18
Odisha ,Baleshwar,NA,Bhograi,Nachinda,3.04
Odisha ,Baleshwar,NA,Bhograi,Barabatia,2.27
Odisha ,Baleshwar,NA,Bhograi,Nimatpur,2.77
Odisha ,Baleshwar,NA,Bhograi,Analia,2.38
Odisha ,Baleshwar,NA,Bhograi,Sultanpur,1.64
Odisha ,Baleshwar,NA,Bhograi,Sankhari,1.76
Odisha ,Baleshwar,NA,Bhograi,T.Hazira,1.9
Odisha ,Baleshwar,NA,Bhograi,Bajitpur,1.22
Odisha ,Baleshwar,NA,Bhograi,Kusuda,2.39
Odisha ,Baleshwar,NA,Bhograi,Rasolpur,0.97
Odisha ,Baleshwar,NA,Bhograi,Dehurda,3.22
Odisha ,Baleshwar,NA,Bhograi,Aruhabrutti-1,1.66
Odisha ,Baleshwar,NA,Bhograi,Daruha,3.16
Odisha ,Baleshwar,NA,Bhograi,Durpal,1.67
Odisha ,Baleshwar,NA,Bhograi,Gabgan,5.08
Odisha ,Baleshwar,NA,Bhograi,Gochhidategharai,2.41
Odisha ,Baleshwar,NA,Bhograi,Jaganathpur,1.64
Odisha ,Baleshwar,NA,Bhograi,Jaleswarpur,2.3
Odisha ,Baleshwar,NA,Bhograi,Jalsohoria,1.39
Odisha ,Baleshwar,NA,Bhograi,Kachuadi,2.65
Odisha ,Baleshwar,NA,Bhograi,Kulida,1.5
Odisha ,Baleshwar,NA,Bhograi,Kumbharmuli,1.65
Odisha ,Baleshwar,NA,Bhograi,Kumbhirgadi,0.76
Odisha ,Baleshwar,NA,Bhograi,Maheshpur,1.01
Odisha ,Baleshwar,NA,Bhograi,Panisanda,1.89
Odisha ,Baleshwar,NA,Bhograi,Pasarbindha,1.36
Odisha ,Baleshwar,NA,Bhograi,Sahabajipur,0.76
Odisha ,Baleshwar,NA,Bhograi,Sianroi,1.43
Odisha ,Baleshwar,NA,Bhograi,Sunadharbasan,0.63
Odisha ,Baleshwar,NA,Bhograi,Total,92.23
Odisha ,Baleshwar,NA,Jaleswar,Kalika,0.31
Odisha ,Baleshwar,NA,Jaleswar,Aruha,1.39
Odisha ,Baleshwar,NA,Jaleswar,R. R. Pur,2.62
Odisha ,Baleshwar,NA,Jaleswar,Nachhimpur,0.92
Odisha ,Baleshwar,NA,Jaleswar,Shyamnagar,0.31
Odisha ,Baleshwar,NA,Jaleswar,Paikasida,4
Odisha ,Baleshwar,NA,Jaleswar,Raibania,1.53
Odisha ,Baleshwar,NA,Jaleswar,Gopimohanpur,4.47
Odisha ,Baleshwar,NA,Jaleswar,Olmara,0.31
Odisha ,Baleshwar,NA,Jaleswar,Mankidia,0.31
Odisha ,Baleshwar,NA,Jaleswar,D.P.Pur,1.84
Odisha ,Baleshwar,NA,Jaleswar,Chamargan,0.46
Odisha ,Baleshwar,NA,Jaleswar,Bartana,0.46
Odisha ,Baleshwar,NA,Jaleswar,Baradiha,2.31
Odisha ,Baleshwar,NA,Jaleswar,Baiganbadia,2.46
Odisha ,Baleshwar,NA,Jaleswar,Rajpur,2.62
Odisha ,Baleshwar,NA,Jaleswar,Sugo,3.54
Odisha ,Baleshwar,NA,Jaleswar,Laxmananatha,2.35
Odisha ,Baleshwar,NA,Jaleswar,Paschimbad,2.77
Odisha ,Baleshwar,NA,Jaleswar,Khalina,1.08
Odisha ,Baleshwar,NA,Jaleswar,Khuad,0.15
Odisha ,Baleshwar,NA,Jaleswar,K.Majhisahi,0.62
Odisha ,Baleshwar,NA,Jaleswar,Nampo,3.23
Odisha ,Baleshwar,NA,Jaleswar,Netua,0.46
Odisha ,Baleshwar,NA,Jaleswar,Sikharpur,1.69
Odisha ,Baleshwar,NA,Jaleswar,Srirampur,1.08
