s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Openning Balance for FY 2018-19,Total Fund Available for the FY 2018-19,Total Expenditure on Wages for FY 2018-19,Total Expenditure on Materials for FY 2018-19,Total Expenditure on Tax for FY 2018-19,Total Expenditure on Admin Expenses  for FY 2018-19,Grand Total Expenditure for FY 2018-19,Total Unspent Balance for FY 2018-19,Total Payment Due for FY 2018-19,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,bolangir,deogaon,7,desandh,-5.84,6.17,11.63,0,0,0,11.63,-5.46,0.44,102,bolangir,deogaon,desandh
odisha,bolangir,deogaon,8,dhandamal,3.94,28.8,17.43,7.41,0,0,24.84,3.95,0.44,103,bolangir,deogaon,dhandamal
odisha,bolangir,deogaon,9,dumerpita,0,11.07,9.62,1.44,0,0,11.07,0,0.08,104,bolangir,deogaon,dumerpita
odisha,bolangir,deogaon,10,gaibahal,0.73,22.45,19.37,2.32,0,0,21.69,0.77,0.11,105,bolangir,deogaon,gaibahal
odisha,bolangir,deogaon,11,gourgoth,-0.65,27.41,26.5,1.5,0,0,28.01,-0.6,0.2,106,bolangir,deogaon,gourgoth
odisha,bolangir,deogaon,12,gudkhapala,0,19.83,18.9,0.3,0,0,19.2,0.64,0.02,107,bolangir,deogaon,gudkhapala
odisha,bolangir,deogaon,13,hatisara,0,11.2,8.99,2,0,0,10.99,0.2,0.07,108,bolangir,deogaon,hatisara
odisha,bolangir,deogaon,14,jarasingha,1.86,11.38,9.52,0,0,0,9.52,1.86,0,109,bolangir,deogaon,jarasingha
odisha,bolangir,deogaon,15,kultapada,1.4,19.45,18.02,0,0,0,18.03,1.42,0,110,bolangir,deogaon,kultapada
odisha,bolangir,deogaon,16,kuturla,9.82,39.07,20.53,8.67,0,0,29.2,9.87,0.23,111,bolangir,deogaon,kuturla
odisha,bolangir,deogaon,17,landapathar,5.6,28.24,14.88,7.74,0,0,22.62,5.62,0.33,112,bolangir,deogaon,landapathar
odisha,bolangir,deogaon,18,mahalei,7.19,32.01,20.8,4.02,0,0,24.82,7.19,0.06,113,bolangir,deogaon,mahalei
odisha,bolangir,deogaon,19,makundpur,0.49,25.02,21.19,3.31,0,0,24.5,0.51,0.1,114,bolangir,deogaon,makundpur
odisha,bolangir,deogaon,20,ramchandrapur,-0.27,23.36,17.39,6.21,0,0,23.59,-0.23,0.1,115,bolangir,deogaon,ramchandrapur
odisha,bolangir,deogaon,21,salepali,1.81,19.82,17.95,0,0,0,17.95,1.87,0.2,116,bolangir,deogaon,salepali
odisha,bolangir,deogaon,22,sarasmal,1.14,28.8,12.33,15.32,0,0,27.66,1.14,0.07,117,bolangir,deogaon,sarasmal
odisha,bolangir,deogaon,23,sikuan,-0.96,11.51,12.13,0.34,0,0,12.48,-0.96,0,118,bolangir,deogaon,sikuan
odisha,bolangir,deogaon,24,singhanmunda,3.59,13.13,9.54,0,0,0,9.54,3.59,0.03,119,bolangir,deogaon,singhanmunda
odisha,bolangir,deogaon,25,sirabahal(udar),-12.07,9.02,19.3,1.76,0,0,21.06,-12.04,0.15,120,bolangir,deogaon,sirabahal(udar)
odisha,bolangir,deogaon,26,uperjhar,0.26,15.53,11.8,3.43,0,0,15.23,0.3,0.07,121,bolangir,deogaon,uperjhar
odisha,bolangir,gudvella,1,badangomunda,0.31,27.15,26.64,0,0,0,26.64,0.51,0.32,122,bolangir,gudvella,badangomunda
odisha,bolangir,gudvella,2,birmunda,0.39,34.26,31.41,2.24,0.21,0,33.85,0.41,0.11,123,bolangir,gudvella,birmunda
odisha,bolangir,gudvella,3,chinched,-0.76,10.78,11.43,0.1,0,0,11.53,-0.76,0.07,124,bolangir,gudvella,chinched
odisha,bolangir,gudvella,4,deulgudi,0,32.3,29.36,2.53,0.42,0,32.3,0,0.1,125,bolangir,gudvella,deulgudi
odisha,bolangir,gudvella,5,gambhariguda,0,22.95,21.76,1.1,0.07,0,22.93,0.02,0.16,126,bolangir,gudvella,gambhariguda
odisha,bolangir,gudvella,6,ghuna,1.4,28.15,25.57,1.13,0.04,0,26.74,1.4,0.03,127,bolangir,gudvella,ghuna
odisha,bolangir,gudvella,7,gudvela,0.04,16.07,14.92,1.1,0.02,0,16.03,0.04,0,128,bolangir,gudvella,gudvela
odisha,bolangir,gudvella,8,jamut,1.17,17.08,13.61,2.27,0.03,0,15.91,1.17,0.15,129,bolangir,gudvella,jamut
odisha,bolangir,gudvella,9,madhekela,-0.5,28.3,28.39,0.37,0.02,0,28.77,-0.47,0.15,130,bolangir,gudvella,madhekela
odisha,bolangir,gudvella,10,nuapada,-0.17,38.67,36.46,2.35,0,0,38.81,-0.14,0.14,131,bolangir,gudvella,nuapada
odisha,bolangir,gudvella,11,rusuda,0.63,29.25,24.52,3.43,0.68,0,28.62,0.63,0.11,132,bolangir,gudvella,rusuda
odisha,bolangir,gudvella,12,samara,-0.03,10.94,10.84,0.08,0,0,10.92,0.02,0.03,133,bolangir,gudvella,samara
odisha,bolangir,gudvella,13,tentelkhunti,1.06,19.94,17.67,1.12,0.09,0,18.88,1.06,0.36,134,bolangir,gudvella,tentelkhunti
odisha,bolangir,khaprakhol,1,baghmund,3.01,27.25,24.06,0,0,0,24.06,3.19,0,135,bolangir,khaprakhol,baghmund
odisha,bolangir,khaprakhol,2,bender,3.82,40.99,31.07,6.05,0,0,37.12,3.87,0.4,136,bolangir,khaprakhol,bender
odisha,bolangir,khaprakhol,3,bhanpur,0.19,10.34,10.11,0,0,0,10.11,0.22,0.36,137,bolangir,khaprakhol,bhanpur
odisha,bolangir,khaprakhol,4,changria,0,9.32,9.32,0,0,0,9.32,0,0.04,138,bolangir,khaprakhol,changria
odisha,bolangir,khaprakhol,5,dameipali,4.07,26.05,19.61,2.36,0,0,21.97,4.08,0.02,139,bolangir,khaprakhol,dameipali
odisha,bolangir,khaprakhol,6,dhandamunda,0.52,49.42,48.7,0,0,0,48.7,0.71,0.52,140,bolangir,khaprakhol,dhandamunda
odisha,bolangir,khaprakhol,7,ghunsar,-0.33,30.57,30.36,0.5,0,0,30.86,-0.28,0.17,141,bolangir,khaprakhol,ghunsar
odisha,bolangir,khaprakhol,8,karuanjhar,-0.65,13.34,11.94,1.97,0,0,13.91,-0.56,0.2,142,bolangir,khaprakhol,karuanjhar
odisha,bolangir,khaprakhol,9,khaprakhol,2.01,58.97,39.08,17.76,0,0,56.84,2.13,0.16,143,bolangir,khaprakhol,khaprakhol
odisha,bolangir,khaprakhol,10,lathor,5.37,38.26,21,11.87,0,0,32.87,5.39,0.12,144,bolangir,khaprakhol,lathor
odisha,bolangir,khaprakhol,11,luhasingha,0.33,34.38,29.85,4.19,0,0,34.04,0.34,0.1,145,bolangir,khaprakhol,luhasingha
odisha,bolangir,khaprakhol,12,maharapadar,0.42,31.08,27.6,2.99,0,0,30.59,0.49,0.04,146,bolangir,khaprakhol,maharapadar
odisha,bolangir,khaprakhol,13,malpara,0,13.25,13.25,0,0,0,13.25,0,0.15,147,bolangir,khaprakhol,malpara
odisha,bolangir,khaprakhol,14,matiabhata,0.29,57.7,44.03,13.37,0,0,57.4,0.29,0,148,bolangir,khaprakhol,matiabhata
odisha,bolangir,khaprakhol,15,nandupala,2.74,23.66,20.89,0.03,0,0,20.92,2.74,0.05,149,bolangir,khaprakhol,nandupala
odisha,bolangir,khaprakhol,16,padiabahal,3.54,22.11,18.26,0,0,0,18.26,3.85,0.03,150,bolangir,khaprakhol,padiabahal
odisha,bolangir,khaprakhol,17,rengali,0.31,15.87,12.62,2.85,0,0,15.47,0.4,0.42,151,bolangir,khaprakhol,rengali
odisha,bolangir,khaprakhol,18,sahajpani,0,21.52,21.52,0,0,0,21.52,0,0.11,152,bolangir,khaprakhol,sahajpani
odisha,bolangir,khaprakhol,19,tankapani,0.32,52.97,40.13,12.37,0,0,52.5,0.47,0.47,153,bolangir,khaprakhol,tankapani
odisha,bolangir,khaprakhol,20,telenpali,2.12,25.33,22.97,0,0,0,22.97,2.36,0.04,154,bolangir,khaprakhol,telenpali
odisha,bolangir,khaprakhol,21,udiapali,0.23,29.9,26.5,2.88,0,0,29.38,0.52,0.13,155,bolangir,khaprakhol,udiapali
odisha,bolangir,loisingha,1,badibahal,-5.21,45.1,32.31,17.72,0.2,0,50.23,-5.13,0.76,156,bolangir,loisingha,badibahal
odisha,bolangir,loisingha,2,badimunda,1.44,17.57,12.5,3.59,0.03,0,16.12,1.44,0.15,157,bolangir,loisingha,badimunda
odisha,bolangir,loisingha,3,banipali,0,27.18,25.02,2.12,0.03,0,27.18,0,0.21,158,bolangir,loisingha,banipali
odisha,bolangir,loisingha,4,budhipadar,0.65,31.28,24.36,6.22,0.05,0,30.62,0.65,0.16,159,bolangir,loisingha,budhipadar
odisha,bolangir,loisingha,5,burda,-0.34,13.91,13.13,5.27,0.07,0,18.47,-4.56,0.29,160,bolangir,loisingha,burda
odisha,bolangir,loisingha,6,dunguripali,-8.51,8.45,17.68,4.12,0.05,0,21.85,-13.41,0.26,161,bolangir,loisingha,dunguripali
odisha,bolangir,loisingha,7,hirapur,1.99,31.47,27.53,1.9,0.03,0,29.46,2.01,0.19,162,bolangir,loisingha,hirapur
odisha,bolangir,loisingha,8,jharmunda,0.86,19.79,16.28,2.62,0.03,0,18.92,0.86,0.02,163,bolangir,loisingha,jharmunda
odisha,bolangir,loisingha,9,jogisurda,0.44,34.12,25.65,7.88,0.1,0,33.64,0.48,0.67,164,bolangir,loisingha,jogisurda
odisha,bolangir,loisingha,10,kandajuri,-1.69,14.22,13.42,2.4,0.03,0,15.85,-1.64,0.03,165,bolangir,loisingha,kandajuri
odisha,bolangir,loisingha,11,kusang,0.49,16.86,16.66,1.22,0.02,0,17.9,-1.03,0.03,166,bolangir,loisingha,kusang
odisha,bolangir,loisingha,12,kusmel,-1.95,28.09,30.72,4.2,0.05,0,34.96,-6.87,0.11,167,bolangir,loisingha,kusmel
