s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Openning Balance for FY 2018-19,Total Fund Available for the FY 2018-19,Total Expenditure on Wages for FY 2018-19,Total Expenditure on Materials for FY 2018-19,Total Expenditure on Tax for FY 2018-19,Total Expenditure on Admin Expenses  for FY 2018-19,Grand Total Expenditure for FY 2018-19,Total Unspent Balance for FY 2018-19,Total Payment Due for FY 2018-19,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,bolangir,muribahal,3,bankel,-9.8,28.34,19.72,18.42,0,0,38.14,-9.8,0.62,178,bolangir,muribahal,bankel
odisha,bolangir,muribahal,4,belpadar,-3.12,21.86,21.27,3.71,0,0,24.98,-3.12,0.15,179,bolangir,muribahal,belpadar
odisha,bolangir,muribahal,5,bitabandh,0,30.03,17.71,11.92,0,0,29.64,0.39,0.92,180,bolangir,muribahal,bitabandh
odisha,bolangir,muribahal,6,chalki,-7.33,23.68,16.91,14.1,0,0,31.01,-7.33,0.46,181,bolangir,muribahal,chalki
odisha,bolangir,muribahal,7,chanabahal,-12.12,13.5,25.62,0,0,0,25.62,-12.12,0.51,182,bolangir,muribahal,chanabahal
odisha,bolangir,muribahal,8,dangarpada,0,33.13,25.64,7.49,0,0,33.13,0,0.26,183,bolangir,muribahal,dangarpada
odisha,bolangir,muribahal,9,gadgadabahal,0,22.41,13.23,9.19,0,0,22.41,0,0.47,184,bolangir,muribahal,gadgadabahal
odisha,bolangir,muribahal,10,ganrei,-17.64,44.27,36.34,25.57,0,0,61.9,-17.64,0.2,185,bolangir,muribahal,ganrei
odisha,bolangir,muribahal,11,goimund,0,43.37,24.75,18.61,0,0,43.37,0,0.19,186,bolangir,muribahal,goimund
odisha,bolangir,muribahal,12,gudighat,-9.46,8.17,13.04,4.59,0,0,17.63,-9.46,0.6,187,bolangir,muribahal,gudighat
odisha,bolangir,muribahal,13,haldi,-2.31,90.86,57.58,35.57,0,0,93.15,-2.29,0.11,188,bolangir,muribahal,haldi
odisha,bolangir,muribahal,14,ichhapada,-4.89,58.12,44.8,18.28,0,0,63.08,-4.96,0.06,189,bolangir,muribahal,ichhapada
odisha,bolangir,muribahal,15,lakhana,-3.05,16.21,15.21,4.05,0,0,19.26,-3.05,0.53,190,bolangir,muribahal,lakhana
odisha,bolangir,muribahal,16,lebda,0.03,50.46,37.27,13.14,0,0,50.41,0.05,0,191,bolangir,muribahal,lebda
odisha,bolangir,muribahal,17,malisira,-0.66,49.4,33.82,16.16,0,0,49.97,-0.57,0.9,192,bolangir,muribahal,malisira
odisha,bolangir,muribahal,18,muribahal,0,25.87,18.6,7.27,0,0,25.87,0,0.49,193,bolangir,muribahal,muribahal
odisha,bolangir,muribahal,19,patrapali,-10.08,50.79,35.96,24.89,0,0,60.86,-10.07,0.54,194,bolangir,muribahal,patrapali
odisha,bolangir,muribahal,20,patrapali- kha,0,28.05,16.05,11.99,0,0,28.05,0,0.18,195,bolangir,muribahal,patrapali- kha
odisha,bolangir,muribahal,21,tentelkhunti,-1.53,21.63,19.32,3.84,0,0,23.16,-1.53,0.21,196,bolangir,muribahal,tentelkhunti
odisha,bolangir,muribahal,22,tupaudar,0.44,46.99,31.7,15.05,0,0,46.75,0.25,1.26,197,bolangir,muribahal,tupaudar
odisha,bolangir,patnagarh,1,balipata,1.05,19.53,18.44,0,0,0,18.44,1.1,0.21,198,bolangir,patnagarh,balipata
odisha,bolangir,patnagarh,2,baneimunda,-1.31,33.23,29.13,5.36,0,0,34.5,-1.27,0,199,bolangir,patnagarh,baneimunda
odisha,bolangir,patnagarh,3,barpadar,-1.5,15.42,16.85,0,0,0,16.85,-1.44,0.31,200,bolangir,patnagarh,barpadar
odisha,bolangir,patnagarh,4,batharla,1.02,10.78,9.75,0,0,0,9.76,1.02,0,201,bolangir,patnagarh,batharla
odisha,bolangir,patnagarh,5,bhainsa,0.81,17.37,16.55,0,0,0,16.55,0.82,0.27,202,bolangir,patnagarh,bhainsa
odisha,bolangir,patnagarh,6,bharatbahal,0,4.25,4.25,0,0,0,4.25,0,0.06,203,bolangir,patnagarh,bharatbahal
odisha,bolangir,patnagarh,7,dangabahal,0,20.8,19.93,0.55,0,0,20.48,0.32,0.69,204,bolangir,patnagarh,dangabahal
odisha,bolangir,patnagarh,8,deulgaon,1.59,21.6,19.81,0,0,0,19.81,1.8,0.35,205,bolangir,patnagarh,deulgaon
odisha,bolangir,patnagarh,9,dhatuk,0,29.15,24.45,3.94,0,0,28.38,0.77,0.12,206,bolangir,patnagarh,dhatuk
odisha,bolangir,patnagarh,10,dhubalpada,-0.23,13.47,13.7,0,0,0,13.7,-0.23,0.11,207,bolangir,patnagarh,dhubalpada
odisha,bolangir,patnagarh,11,gangasagar,0.17,8.74,8.32,0,0,0,8.32,0.41,0.67,208,bolangir,patnagarh,gangasagar
odisha,bolangir,patnagarh,12,gerda,-0.39,18.51,18.9,0,0,0,18.9,-0.39,0.21,209,bolangir,patnagarh,gerda
odisha,bolangir,patnagarh,13,ghasian,0.32,22.48,19.1,2.95,0,0,22.05,0.42,0.12,210,bolangir,patnagarh,ghasian
odisha,bolangir,patnagarh,14,ghuchepali,-1.02,17.03,18.04,0,0,0,18.04,-1.01,0.08,211,bolangir,patnagarh,ghuchepali
odisha,bolangir,patnagarh,15,jogimunda,0.93,13.77,12.69,0,0,0,12.7,1.07,0.08,212,bolangir,patnagarh,jogimunda
odisha,bolangir,patnagarh,16,kendumundi,-0.5,37.64,35.95,2.12,0,0,38.07,-0.43,0,213,bolangir,patnagarh,kendumundi
odisha,bolangir,patnagarh,17,kerbeda,0,14.01,13.97,0,0,0,13.97,0.05,0.17,214,bolangir,patnagarh,kerbeda
odisha,bolangir,patnagarh,18,khuntsamlei,1.84,23.06,21.18,0,0,0,21.18,1.88,0.06,215,bolangir,patnagarh,khuntsamlei
odisha,bolangir,patnagarh,19,khursel,0,8.36,8.4,0,0,0,8.4,-0.04,0.11,216,bolangir,patnagarh,khursel
odisha,bolangir,patnagarh,20,larambha,0,15.3,12.18,2.66,0,0,14.84,0.46,0.39,217,bolangir,patnagarh,larambha
odisha,bolangir,patnagarh,21,maruan,1.32,28.2,23.91,2.91,0,0,26.82,1.38,0.16,218,bolangir,patnagarh,maruan
odisha,bolangir,patnagarh,22,mundomahul,-0.83,25.99,26.79,0,0,0,26.79,-0.79,0.13,219,bolangir,patnagarh,mundomahul
odisha,bolangir,patnagarh,23,pandamunda,2.82,26.22,23.28,0,0,0,23.27,2.95,0.09,220,bolangir,patnagarh,pandamunda
odisha,bolangir,patnagarh,24,phatamunda,0,11.53,11.43,0,0,0,11.43,0.1,0.25,221,bolangir,patnagarh,phatamunda
odisha,bolangir,patnagarh,25,salepali,0.93,13.67,12.72,0,0,0,12.72,0.95,0.28,222,bolangir,patnagarh,salepali
odisha,bolangir,patnagarh,26,solbandh,-0.79,9.26,9.77,0.15,0,0,9.92,-0.66,0.3,223,bolangir,patnagarh,solbandh
odisha,bolangir,patnagarh,27,sunamudi,3.31,23.84,20.36,0,0,0,20.36,3.47,0.68,224,bolangir,patnagarh,sunamudi
odisha,bolangir,patnagarh,28,tamian,4.31,47.22,31.28,11.56,0,0,42.84,4.38,0.47,225,bolangir,patnagarh,tamian
odisha,bolangir,patnagarh,29,tendapadar,2.68,11.83,9.16,0,0,0,9.16,2.68,0.05,226,bolangir,patnagarh,tendapadar
odisha,bolangir,patnagarh,30,ulba,0.4,21.04,20.64,0,0,0,20.63,0.4,0.12,227,bolangir,patnagarh,ulba
odisha,bolangir,puintala,1,ainlasari,0,11.83,11.83,0,0,0,11.83,0,0.31,228,bolangir,puintala,ainlasari
odisha,bolangir,puintala,2,ankriapadar,-0.12,13.17,13.29,0,0,0,13.29,-0.12,0.01,229,bolangir,puintala,ankriapadar
odisha,bolangir,puintala,3,atgaon,0.73,33.82,32.06,0.82,0.01,0,32.89,0.93,0.29,230,bolangir,puintala,atgaon
odisha,bolangir,puintala,4,bahalpadar,0.93,22.39,18.76,2.6,0.03,0,21.38,1,0.22,231,bolangir,puintala,bahalpadar
odisha,bolangir,puintala,5,bairasar,2.81,16.57,13.76,0,0,0,13.76,2.81,0.02,232,bolangir,puintala,bairasar
odisha,bolangir,puintala,6,bandhpada,1.75,8.77,7.02,0,0,0,7.02,1.75,0.08,233,bolangir,puintala,bandhpada
odisha,bolangir,puintala,7,bhaler,3.62,16.73,11.51,1.58,0.03,0,13.11,3.62,0.07,234,bolangir,puintala,bhaler
odisha,bolangir,puintala,8,bileisarda,0.67,34.88,24.31,9.76,0.15,0,34.21,0.67,0.1,235,bolangir,puintala,bileisarda
odisha,bolangir,puintala,9,bubel,0.66,19.21,18.15,0.4,0,0,18.55,0.66,0.31,236,bolangir,puintala,bubel
odisha,bolangir,puintala,10,chhatamakhna,2.71,16.25,13.54,0,0,0,13.54,2.71,0.31,237,bolangir,puintala,chhatamakhna
odisha,bolangir,puintala,11,chhatapipal,2.24,27.06,24.76,0.04,0,0,24.81,2.26,0.03,238,bolangir,puintala,chhatapipal
odisha,bolangir,puintala,12,daspur,5.27,25.86,19.58,1.12,0,0,20.7,5.16,0.01,239,bolangir,puintala,daspur
odisha,bolangir,puintala,13,durgapali,2.52,11.56,9.03,0,0,0,9.03,2.52,0.01,240,bolangir,puintala,durgapali
odisha,bolangir,puintala,14,gaintala,2.55,14.52,11.98,0,0,0,11.97,2.55,0.1,241,bolangir,puintala,gaintala
odisha,bolangir,puintala,15,jamgaon,5.47,19.31,12.88,0.9,0.02,0,13.79,5.52,0.25,242,bolangir,puintala,jamgaon
odisha,bolangir,puintala,16,khaliapali,-0.63,15.95,14.02,2.49,0.03,0,16.55,-0.6,0.07,243,bolangir,puintala,khaliapali
odisha,bolangir,puintala,17,kurul,0.2,9.77,9.57,0,0,0,9.57,0.2,0,244,bolangir,puintala,kurul
odisha,bolangir,puintala,18,lukapada,3.85,31.25,24.2,2.98,0.04,0,27.22,4.03,0.37,245,bolangir,puintala,lukapada
odisha,bolangir,puintala,19,mahimunda,0.96,17.55,16.6,0,0,0,16.59,0.96,0,246,bolangir,puintala,mahimunda
odisha,bolangir,puintala,20,malmunda,-1.96,6.05,6.4,1.57,0.05,0,8.01,-1.96,0.24,247,bolangir,puintala,malmunda
odisha,bolangir,puintala,21,patharla(talgaj),4.02,33.59,26.58,2.88,0.06,0,29.52,4.07,0.91,248,bolangir,puintala,patharla(talgaj)
odisha,bolangir,puintala,22,pipirda,0.02,9.87,9.85,0,0,0,9.85,0.02,0.02,249,bolangir,puintala,pipirda
odisha,bolangir,puintala,23,puintala,2.42,10.07,7.65,0,0,0,7.65,2.42,0,250,bolangir,puintala,puintala
odisha,bolangir,puintala,24,randa,2.81,13.4,10.48,0.12,0,0,10.59,2.81,0.05,251,bolangir,puintala,randa
odisha,bolangir,puintala,25,sauntpur,0.8,13.99,13.18,0,0,0,13.18,0.81,0.1,252,bolangir,puintala,sauntpur
odisha,bolangir,saintala,1,ambpali,-2,21.9,19.85,4.05,0,0,23.9,-2,0.13,253,bolangir,saintala,ambpali
odisha,bolangir,saintala,2,belgaon,-2.26,9.6,7.79,4.07,0,0,11.86,-2.26,0.29,254,bolangir,saintala,belgaon
odisha,bolangir,saintala,3,bhadra,0.23,32.06,22.61,9.22,0,0,31.83,0.23,0.17,255,bolangir,saintala,bhadra
odisha,bolangir,saintala,4,bibina,0,2.44,2.44,0,0,0,2.44,0,0.08,256,bolangir,saintala,bibina
odisha,bolangir,saintala,5,budabahal,-4.11,36.1,36.62,3.57,0,0,40.19,-4.09,0.07,257,bolangir,saintala,budabahal
odisha,bolangir,saintala,6,deng,-2.93,30.96,25.26,8.63,0,0,33.89,-2.93,0.04,258,bolangir,saintala,deng
odisha,bolangir,saintala,7,dharapgarh,-1.09,15.42,14.03,2.44,0,0,16.48,-1.06,0.07,259,bolangir,saintala,dharapgarh
odisha,bolangir,saintala,8,dunguripali,-5.06,50.77,42.43,13.4,0,0,55.84,-5.06,0.47,260,bolangir,saintala,dunguripali
odisha,bolangir,saintala,9,gandpatrapali,-0.16,15.94,16.1,0,0,0,16.1,-0.16,0.21,261,bolangir,saintala,gandpatrapali
odisha,bolangir,saintala,10,ghunsar,3.75,23.07,14.58,4.74,0,0,19.32,3.75,0.33,262,bolangir,saintala,ghunsar
odisha,bolangir,saintala,11,jhinkidunguri,-2.69,33.78,26.52,9.95,0,0,36.47,-2.69,0.63,263,bolangir,saintala,jhinkidunguri
odisha,bolangir,saintala,12,jurabandh,-4.56,45.59,37.55,12.61,0,0,50.16,-4.56,0.12,264,bolangir,saintala,jurabandh
odisha,bolangir,saintala,13,kandhkelgaon,-3.78,98.12,78.46,23.45,0,0,101.91,-3.79,0.18,265,bolangir,saintala,kandhkelgaon
odisha,bolangir,saintala,14,kansar,-0.35,21.13,19.08,2.39,0,0,21.47,-0.35,0.02,266,bolangir,saintala,kansar
odisha,bolangir,saintala,15,karamtala,-4.38,112.03,85.83,30.02,0,0,115.85,-3.82,1.26,267,bolangir,saintala,karamtala
odisha,bolangir,saintala,16,kermeli,-0.63,29.35,19.95,10.04,0,0,29.98,-0.64,0.42,268,bolangir,saintala,kermeli
odisha,bolangir,saintala,17,kuikeda,-2.11,1.9,4,0,0,0,4,-2.11,0.07,269,bolangir,saintala,kuikeda
odisha,bolangir,saintala,18,kumbhari,-3.67,5.97,6.95,2.69,0,0,9.64,-3.67,0.24,270,bolangir,saintala,kumbhari
odisha,bolangir,saintala,19,saintala,-2.33,15.64,15.25,2.69,0,0,17.95,-2.31,0.17,271,bolangir,saintala,saintala
odisha,bolangir,saintala,20,siskela,-1.51,10.59,11.83,0.26,0,0,12.1,-1.51,0,272,bolangir,saintala,siskela
odisha,bolangir,saintala,21,talbahal,0,4.82,3.31,1.52,0,0,4.82,0,0.14,273,bolangir,saintala,talbahal
odisha,bolangir,saintala,22,tikrapada,2.54,87.62,69.28,15.75,0,0,85.04,2.58,0.16,274,bolangir,saintala,tikrapada
odisha,bolangir,titlagarh,1,adabahal,-2.46,28.45,16.98,13.93,0,0,30.92,-2.46,0.07,275,bolangir,titlagarh,adabahal
odisha,bolangir,titlagarh,2,bandupala,0.68,22.88,16.12,6.12,0,0,22.25,0.63,0.09,276,bolangir,titlagarh,bandupala
odisha,bolangir,titlagarh,3,banjipadar,-8.28,28.31,33.16,3.3,0,0,36.45,-8.14,0.07,277,bolangir,titlagarh,banjipadar
odisha,bolangir,titlagarh,4,bhalegaon,-4.59,19.05,15.4,8.24,0,0,23.64,-4.59,0.82,278,bolangir,titlagarh,bhalegaon
odisha,bolangir,titlagarh,5,bijepur,-22.1,36.49,50.59,7.99,0,0,58.58,-22.09,0,279,bolangir,titlagarh,bijepur
odisha,bolangir,titlagarh,6,binekela,-7.49,14.8,21.2,1.09,0,0,22.29,-7.49,0.3,280,bolangir,titlagarh,binekela
odisha,bolangir,titlagarh,7,digsira,-1.45,20.45,16,5.91,0,0,21.9,-1.45,0.03,281,bolangir,titlagarh,digsira
odisha,bolangir,titlagarh,8,ghantbahali,-4.63,28.55,23.41,9.77,0,0,33.18,-4.63,0.05,282,bolangir,titlagarh,ghantbahali
odisha,bolangir,titlagarh,9,ghodar,-2.16,9.56,11.69,0,0,0,11.69,-2.13,0.07,283,bolangir,titlagarh,ghodar
odisha,bolangir,titlagarh,10,jagua,1.72,23.55,14.66,7.17,0,0,21.83,1.72,0.08,284,bolangir,titlagarh,jagua
odisha,bolangir,titlagarh,11,katarkela,0,22.9,22.11,0.8,0,0,22.92,-0.02,0,285,bolangir,titlagarh,katarkela
odisha,bolangir,titlagarh,12,kholan,-6.34,13.75,14.16,5.86,0,0,20.03,-6.28,0.12,286,bolangir,titlagarh,kholan
odisha,bolangir,titlagarh,13,kursud,0.13,24.84,19.03,5.68,0,0,24.71,0.13,0.25,287,bolangir,titlagarh,kursud
odisha,bolangir,titlagarh,14,kuskela,-3.9,16.26,15.9,4.25,0,0,20.16,-3.9,0.06,288,bolangir,titlagarh,kuskela
odisha,bolangir,titlagarh,15,luthurbandh,-5.33,1.18,6.58,0,0,0,6.58,-5.39,0,289,bolangir,titlagarh,luthurbandh
odisha,bolangir,titlagarh,16,mahulpada,-5.41,17.27,13.01,9.66,0,0,22.67,-5.41,0.19,290,bolangir,titlagarh,mahulpada
odisha,bolangir,titlagarh,17,manigaon,-3.83,24.41,23.48,4.75,0,0,28.23,-3.81,0.02,291,bolangir,titlagarh,manigaon
odisha,bolangir,titlagarh,18,marlad,1.57,15.24,13.85,0,0,0,13.84,1.4,0.09,292,bolangir,titlagarh,marlad
odisha,bolangir,titlagarh,19,naren,4.43,14.25,7.86,1.95,0,0,9.81,4.43,0,293,bolangir,titlagarh,naren
odisha,bolangir,titlagarh,20,parasara,-4.16,19.17,21.33,2,0,0,23.34,-4.16,0.09,294,bolangir,titlagarh,parasara
odisha,bolangir,titlagarh,21,sagadghat,-6.96,-1.41,5.55,0,0,0,5.55,-6.96,0.1,295,bolangir,titlagarh,sagadghat
odisha,bolangir,titlagarh,22,sihini,3.56,43.48,35.56,4.6,0,0,40.15,3.33,0.02,296,bolangir,titlagarh,sihini
odisha,bolangir,titlagarh,23,siluan,-5.08,2.78,7.86,0,0,0,7.86,-5.08,0.19,297,bolangir,titlagarh,siluan
odisha,bolangir,titlagarh,24,surda,0,12.26,9.59,2.67,0,0,12.26,0,0,298,bolangir,titlagarh,surda
odisha,bolangir,turekela,1,badbanki,-3.33,44.24,35.68,11.03,0.74,0,47.46,-3.22,0.13,299,bolangir,turekela,badbanki
odisha,bolangir,turekela,2,baddakla,0.36,22.3,20.34,1.4,0.14,0,21.87,0.42,0.4,300,bolangir,turekela,baddakla
odisha,bolangir,turekela,3,buromal,0,13.14,13.13,0,0,0,13.13,0.01,0.18,301,bolangir,turekela,buromal
odisha,bolangir,turekela,4,chatuanka,0,4.53,4.51,0,0,0,4.51,0.02,0.1,302,bolangir,turekela,chatuanka
odisha,bolangir,turekela,5,chaulsukha,0.97,20.99,20.03,0,0,0,20.03,0.96,0,303,bolangir,turekela,chaulsukha
odisha,bolangir,turekela,6,dhamandanga,-1.04,43.39,44.23,0,0,0,44.23,-0.85,0.46,304,bolangir,turekela,dhamandanga
odisha,bolangir,turekela,7,dholmandal,-5.56,9.8,13.38,1.99,0,0,15.36,-5.56,0.13,305,bolangir,turekela,dholmandal
odisha,bolangir,turekela,8,ghunesh,-2.25,20.34,22.57,0,0,0,22.57,-2.23,0.33,306,bolangir,turekela,ghunesh
odisha,bolangir,turekela,9,halanbhata,1.05,11.24,10.04,0,0,0,10.04,1.2,0.22,307,bolangir,turekela,halanbhata
odisha,bolangir,turekela,10,hial,1.11,15.37,14.18,0,0,0,14.18,1.2,0.07,308,bolangir,turekela,hial
odisha,bolangir,turekela,11,jharni,0.01,18.7,18.73,0,0,0,18.74,-0.04,0.32,309,bolangir,turekela,jharni
odisha,bolangir,turekela,12,kameimunda,0.95,9.92,8.97,0,0,0,8.97,0.95,0.36,310,bolangir,turekela,kameimunda
odisha,bolangir,turekela,13,kandei,-2.56,15.79,17.8,0.48,0.02,0,18.31,-2.52,0.03,311,bolangir,turekela,kandei
odisha,bolangir,turekela,14,karuanmunda,0.74,24.88,24.09,0.05,0,0,24.14,0.74,0.03,312,bolangir,turekela,karuanmunda
odisha,bolangir,turekela,15,khagsa,1.41,26.35,24.73,0.15,0,0,24.88,1.47,0.33,313,bolangir,turekela,khagsa
odisha,bolangir,turekela,16,kuibahal,-0.12,31.81,25.43,6.48,0.05,0,31.94,-0.14,0.02,314,bolangir,turekela,kuibahal
odisha,bolangir,turekela,17,mahakhand,-0.55,31.51,27.01,4.73,0.31,0,32.05,-0.54,0.01,315,bolangir,turekela,mahakhand
odisha,bolangir,turekela,18,mahulpati,0.79,12.49,11.7,0,0,0,11.7,0.79,0.01,316,bolangir,turekela,mahulpati
odisha,bolangir,turekela,19,turekela,-0.23,25.12,24.71,0.62,0,0,25.34,-0.23,0.14,317,bolangir,turekela,turekela
odisha,boudh,boudh,1,ainlapali,0,29.12,27.95,0,0,0,27.95,1.17,0.13,318,boudh,boudh,ainlapali
odisha,boudh,boudh,2,ambajhari,0,23.58,20.74,3.28,0,0,24.01,-0.44,0.08,319,boudh,boudh,ambajhari
odisha,boudh,boudh,3,badhigaon,0,66.55,54.73,10.54,1.4,0,66.68,-0.13,1.08,320,boudh,boudh,badhigaon
odisha,boudh,boudh,4,baghiapada,0,42.85,39.57,2.84,0,0,42.4,0.45,0.35,321,boudh,boudh,baghiapada
odisha,boudh,boudh,5,bohira,0,16.18,14.54,2.25,0,0,16.79,-0.61,0.17,322,boudh,boudh,bohira
odisha,boudh,boudh,6,baunsuni,0,21.48,17.23,4.16,0,0,21.39,0.09,0.15,323,boudh,boudh,baunsuni
odisha,boudh,boudh,7,brahmanipali,0,25.39,23.86,1.64,0,0,25.5,-0.11,0.02,324,boudh,boudh,brahmanipali
odisha,boudh,boudh,8,gochhapada,-0.36,70.31,46.48,24.45,0.11,0,71.04,-0.73,0.27,325,boudh,boudh,gochhapada
odisha,boudh,boudh,9,gundulia,-0.25,23.75,22.39,1.58,0.16,0,24.14,-0.39,0.14,326,boudh,boudh,gundulia
odisha,boudh,boudh,10,kasurbandh,0,0.75,3.1,0,0,0,3.1,-2.35,0,327,boudh,boudh,kasurbandh
odisha,boudh,boudh,11,khaliapali purumunda,0,13.08,12.82,0.17,0,0,12.99,0.09,0.17,328,boudh,boudh,khaliapali purumunda
odisha,boudh,boudh,12,khuntabandha,-0.37,11.69,11.54,0,0,0,11.54,0.15,0.59,329,boudh,boudh,khuntabandha
odisha,boudh,boudh,13,laxmiprasad,0,13.76,13.33,0.84,0,0,14.17,-0.4,0.02,330,boudh,boudh,laxmiprasad
odisha,boudh,boudh,14,manupali,0,18.23,17.87,0,0,0,17.87,0.36,0.02,331,boudh,boudh,manupali
odisha,boudh,boudh,15,mundapada,-0.34,23.16,22.84,1.08,0,0,23.92,-0.76,0.36,332,boudh,boudh,mundapada
odisha,boudh,boudh,16,mundipadar,0,29.98,26.95,3.55,0,0,30.5,-0.52,0.51,333,boudh,boudh,mundipadar
odisha,boudh,boudh,17,mursundhi,-0.02,30.48,21.76,8.41,0.23,0,30.41,0.07,0.77,334,boudh,boudh,mursundhi
odisha,boudh,boudh,18,padmanapur,0,27.06,26.08,0.25,0,0,26.33,0.73,0.36,335,boudh,boudh,padmanapur
odisha,boudh,boudh,19,raxa,-0.03,22.52,21.87,0.52,0,0,22.39,0.13,0.58,336,boudh,boudh,raxa
odisha,boudh,boudh,20,sagada,0,24.86,25.24,0,0,0,25.24,-0.38,0.22,337,boudh,boudh,sagada
odisha,boudh,boudh,21,talasarada,0,26.62,23.65,3.32,0,0,26.97,-0.35,0.37,338,boudh,boudh,talasarada
odisha,boudh,boudh,22,telibandha,-0.65,12.21,10.38,2.21,0,0,12.6,-0.39,0.66,339,boudh,boudh,telibandha
odisha,boudh,boudh,23,tikarapada,-0.07,18.99,18.17,0,0,0,18.17,0.82,0.33,340,boudh,boudh,tikarapada
odisha,boudh,harbhanga,1,adenigarh,-0.11,34.19,33.51,2.04,0.1,0,35.64,-1.45,0.41,341,boudh,harbhanga,adenigarh
odisha,boudh,harbhanga,2,bamanda,-0.36,2.36,2.88,0,0,0,2.88,-0.52,0.05,342,boudh,harbhanga,bamanda
odisha,boudh,harbhanga,3,bandhapathar,-0.35,-0.35,1.97,0,0,0,1.97,-2.32,0,343,boudh,harbhanga,bandhapathar
odisha,boudh,harbhanga,4,banibhusanapur,-0.51,19.61,20,0.58,0,0,20.58,-0.97,0.36,344,boudh,harbhanga,banibhusanapur
odisha,boudh,harbhanga,5,biranarasinghpur,-0.02,39.87,28.46,10.26,0.83,0,39.56,0.32,1.19,345,boudh,harbhanga,biranarasinghpur
odisha,boudh,harbhanga,6,chhatranga,-0.06,21.56,17.23,4.37,0.11,0,21.71,-0.15,0.09,346,boudh,harbhanga,chhatranga
odisha,boudh,harbhanga,7,dhalpur,-0.75,8.09,8.84,0,0,0,8.84,-0.75,0.2,347,boudh,harbhanga,dhalpur
odisha,boudh,harbhanga,8,harabhanga,-0.08,4.39,4.07,0,0,0,4.07,0.32,0.13,348,boudh,harbhanga,harabhanga
odisha,boudh,harbhanga,9,karanjakata,0,6.98,7.42,0,0,0,7.42,-0.44,0.27,349,boudh,harbhanga,karanjakata
odisha,boudh,harbhanga,10,kusang,-0.74,7.59,9.55,0,0,0,9.55,-1.96,3.72,350,boudh,harbhanga,kusang
odisha,boudh,harbhanga,11,lunibahal,0,8.24,2.83,5.84,0.03,0,8.69,-0.45,0.02,351,boudh,harbhanga,lunibahal
odisha,boudh,harbhanga,12,mahalikpada,0,15.82,12.02,3.86,0,0,15.88,-0.07,2.67,352,boudh,harbhanga,mahalikpada
odisha,boudh,harbhanga,13,mathura,-0.73,3.91,4.58,0.2,0,0,4.78,-0.87,0.03,353,boudh,harbhanga,mathura
odisha,boudh,harbhanga,14,pitambarpur,0,14.34,9.78,4.56,0.01,0,14.34,0,0.16,354,boudh,harbhanga,pitambarpur
odisha,boudh,harbhanga,15,purunakatak,-0.39,4.51,4.2,0.77,0,0,4.97,-0.46,0.11,355,boudh,harbhanga,purunakatak
odisha,boudh,harbhanga,16,radhanagar,-1.26,12.95,8.69,5.34,0.19,0,14.22,-1.27,0.21,356,boudh,harbhanga,radhanagar
odisha,boudh,harbhanga,17,ramgarh,-1.71,16.83,12.62,5.93,0,0,18.55,-1.71,0.04,357,boudh,harbhanga,ramgarh
odisha,boudh,harbhanga,18,sampoch,-0.02,4.99,4.85,0.3,0,0,5.16,-0.18,0.03,358,boudh,harbhanga,sampoch
odisha,boudh,harbhanga,19,sankuloi,0,29.19,25.87,3.4,0.01,0,29.28,-0.1,0.19,359,boudh,harbhanga,sankuloi
odisha,boudh,harbhanga,20,sarasara,0,21.87,22.22,0,0,0,22.22,-0.35,0.19,360,boudh,harbhanga,sarasara
odisha,boudh,harbhanga,21,talagaon,-0.18,83.49,62.68,21.74,0.05,0,84.48,-0.99,0.91,361,boudh,harbhanga,talagaon
odisha,boudh,harbhanga,22,tileswar,-0.08,-0.08,1.69,0,0,0,1.69,-1.77,0,362,boudh,harbhanga,tileswar
odisha,boudh,kantamal,1,ambagaon,0,41.27,30.1,16.28,0,0,46.38,-5.11,0.11,363,boudh,kantamal,ambagaon
odisha,boudh,kantamal,2,baragaon,-0.72,47.37,51.42,0.76,0,0,52.18,-4.81,0.53,364,boudh,kantamal,baragaon
odisha,boudh,kantamal,3,baragochha,-1.17,35.5,27.83,9.32,0,0,37.15,-1.65,2.53,365,boudh,kantamal,baragochha
odisha,boudh,kantamal,4,bilaspur,0,58.56,46.55,12.53,0,0,59.08,-0.52,0.32,366,boudh,kantamal,bilaspur
odisha,boudh,kantamal,5,dapala,0,54.06,51.78,5.29,0,0,57.07,-3.02,1.51,367,boudh,kantamal,dapala
odisha,boudh,kantamal,6,ghantapada,-2.53,44.48,36.44,12.58,0,0,49.01,-4.53,2.54,368,boudh,kantamal,ghantapada
odisha,boudh,kantamal,7,ghikundi,-0.61,17.94,16.07,6.66,0,0,22.73,-4.79,0.04,369,boudh,kantamal,ghikundi
odisha,boudh,kantamal,8,gudvelipadar,0,27.62,26.78,3.09,0,0,29.87,-2.25,0.37,370,boudh,kantamal,gudvelipadar
odisha,boudh,kantamal,9,jogendrapur,-0.06,26.45,28.66,5.33,0,0,34,-7.54,0.4,371,boudh,kantamal,jogendrapur
odisha,boudh,kantamal,10,kantamal,-0.7,44.26,29.1,17.21,0,0,46.32,-2.06,0.62,372,boudh,kantamal,kantamal
odisha,boudh,kantamal,11,khaliapali,-0.55,30.05,20.94,12.44,0,0,33.38,-3.33,0.65,373,boudh,kantamal,khaliapali
