Name of The State ,Name of The District,Name of The Block,Number of Gram Panchayats,Name  of Gram Panchayats,Opening Balance For FY 2019-20,Total Fund Available For  FY 2019-20,Total Expenditure on Wages For FY 2019-20,Total Expenditure On Materials For FY 2019-20,Total Tax Paid For FY 2019-20,Total Admin Expenses  For FY 2019-20,Grand Total Expenditure For FY 2019-20,Total Unspent Balance For FY 2019-20,Total Payment Due For FY 2019-20
Odisha,Gajapati,Nuagada,19,Udayapur,0.000,18.200,17.950,0.250,0.000,0.000,18.200,0.000,0.290
Odisha,Gajapati,Nuagada,,Total,0.000,751.060,452.240,298.220,0.000,0.000,750.450,0.610,18.520
Odisha,Gajapati,Nuagada,,Block Level Line Deptt.,0.000,0.000,128.390,152.020,0.010,0.000,280.420,-280.420,10.260
Odisha,Gajapati,Nuagada,,Po,0.000,130.510,0.000,NA,NA,28.740,28.740,101.770,NA
Odisha,Gajapati,Nuagada,,Grand Total,0.000,881.570,580.630,450.240,0.010,28.740,1059.610,-178.040,28.780
Odisha,Gajapati,R. Udayagiri,1,Abarsing,0.000,46.290,28.900,17.410,0.000,0.000,46.310,-0.020,0.210
Odisha,Gajapati,R. Udayagiri,2,Anagha,0.000,23.260,15.570,7.670,0.000,0.000,23.230,0.030,1.360
Odisha,Gajapati,R. Udayagiri,3,Bastriguda,0.000,45.320,28.850,16.510,0.000,0.000,45.350,-0.030,1.000
Odisha,Gajapati,R. Udayagiri,4,Chellagada,0.000,30.980,18.210,12.690,0.000,0.000,30.890,0.080,0.370
Odisha,Gajapati,R. Udayagiri,5,Chelligada,0.000,28.780,19.860,8.360,0.000,0.000,28.230,0.550,1.030
Odisha,Gajapati,R. Udayagiri,6,Dabaraguda,0.000,11.850,6.000,5.990,0.000,0.000,11.980,-0.130,0.760
Odisha,Gajapati,R. Udayagiri,7,Mahendragada,0.000,35.220,22.870,12.360,0.000,0.000,35.230,-0.010,1.860
Odisha,Gajapati,R. Udayagiri,8,Mangarajpur,0.000,14.430,6.180,8.270,0.000,0.000,14.460,-0.020,1.160
Odisha,Gajapati,R. Udayagiri,9,Parisala,0.000,23.350,13.030,10.380,0.000,0.000,23.410,-0.050,0.530
Odisha,Gajapati,R. Udayagiri,10,Purunapani,0.000,11.160,7.530,3.590,0.000,0.000,11.120,0.040,1.220
Odisha,Gajapati,R. Udayagiri,11,R.Udayagiri,0.000,20.150,12.820,7.230,0.000,0.000,20.050,0.100,0.520
Odisha,Gajapati,R. Udayagiri,12,Ramagiri,0.000,7.860,5.850,2.020,0.000,0.000,7.870,-0.010,0.310
Odisha,Gajapati,R. Udayagiri,13,Randiva,0.000,36.090,12.260,23.830,0.000,0.000,36.090,0.000,0.440
Odisha,Gajapati,R. Udayagiri,14,Sabarpalli,0.000,80.760,41.940,40.180,0.000,0.000,82.120,-1.360,3.670
Odisha,Gajapati,R. Udayagiri,15,Sialilati,0.000,11.040,8.030,2.970,0.000,0.000,10.990,0.040,0.490
Odisha,Gajapati,R. Udayagiri,16,Subalada,0.000,7.800,6.840,0.960,0.000,0.000,7.800,0.000,0.360
Odisha,Gajapati,R. Udayagiri,17,Tabarsingi,0.000,50.580,20.550,30.030,0.000,0.000,50.580,0.000,1.590
Odisha,Gajapati,R. Udayagiri,,Total,0.000,484.940,275.280,210.450,0.000,0.000,485.730,-0.790,16.870
Odisha,Gajapati,R. Udayagiri,,Block Level Line Deptt.,0.000,0.000,248.920,147.710,0.010,0.000,396.620,-396.620,16.000
Odisha,Gajapati,R. Udayagiri,,Po,-42.550,192.760,0.000,NA,NA,18.800,18.800,173.960,NA
Odisha,Gajapati,R. Udayagiri,,Grand Total,-42.550,677.690,524.200,358.160,0.010,18.800,901.150,-223.450,32.870
Odisha,Gajapati,Rayagada,1,Ameda,0.000,50.060,30.400,20.080,0.000,0.000,50.490,-0.420,2.560
Odisha,Gajapati,Rayagada,2,Dambalo,0.000,12.770,12.510,1.450,0.000,0.000,13.960,-1.190,0.570
Odisha,Gajapati,Rayagada,3,Engarsingi,0.000,32.530,20.710,17.970,0.000,0.000,38.680,-6.150,2.310
Odisha,Gajapati,Rayagada,4,Gandahati,0.000,78.090,47.040,30.100,0.000,0.000,77.140,0.960,1.940
Odisha,Gajapati,Rayagada,5,Gangabada,-0.180,22.530,22.990,0.000,0.000,0.000,22.990,-0.460,0.560
Odisha,Gajapati,Rayagada,6,Jeerango,0.000,48.700,45.730,2.960,0.000,0.000,48.690,0.010,1.710
Odisha,Gajapati,Rayagada,7,Jolanga,0.000,16.690,8.720,15.330,0.000,0.000,24.050,-7.360,0.190
Odisha,Gajapati,Rayagada,8,Karadasingi,0.000,9.720,7.940,1.750,0.000,0.000,9.690,0.030,0.490
Odisha,Gajapati,Rayagada,9,Kerandi,0.000,11.970,12.160,0.000,0.000,0.000,12.160,-0.190,0.470
Odisha,Gajapati,Rayagada,10,Koinpur,0.000,26.900,27.690,0.800,0.000,0.000,28.490,-1.590,4.540
Odisha,Gajapati,Rayagada,11,Kumulsing,0.000,8.750,8.680,0.000,0.000,0.000,8.680,0.070,0.560
Odisha,Gajapati,Rayagada,12,Lailai,0.000,44.270,43.630,0.770,0.000,0.000,44.390,-0.130,1.290
Odisha,Gajapati,Rayagada,13,Laxmipur,0.000,36.830,37.080,5.560,0.000,0.000,42.640,-5.810,1.730
Odisha,Gajapati,Rayagada,14,Loba,0.000,13.560,12.740,0.000,0.000,0.000,12.740,0.820,0.750
Odisha,Gajapati,Rayagada,15,Marloba,0.000,25.580,25.970,4.350,0.000,0.000,30.320,-4.740,0.340
Odisha,Gajapati,Rayagada,16,Narayanpur,0.000,10.490,10.710,2.420,0.000,0.000,13.130,-2.640,0.130
Odisha,Gajapati,Rayagada,17,Putara,0.000,30.540,15.390,14.340,0.000,0.000,29.730,0.810,1.110
Odisha,Gajapati,Rayagada,18,Rayagada,0.000,10.000,10.660,1.210,0.000,0.000,11.870,-1.870,0.460
Odisha,Gajapati,Rayagada,19,S.Karadasingi,0.000,27.190,23.810,3.320,0.000,0.000,27.130,0.060,0.300
Odisha,Gajapati,Rayagada,20,Sanatundi,0.000,21.960,21.660,0.000,0.000,0.000,21.660,0.310,0.240
Odisha,Gajapati,Rayagada,21,Talamunda,0.000,22.400,15.460,6.740,0.000,0.000,22.200,0.200,0.500
Odisha,Gajapati,Rayagada,,Total,-0.180,561.550,461.680,129.170,0.000,0.000,590.840,-29.290,22.740
Odisha,Gajapati,Rayagada,,Block Level Line Deptt.,0.000,0.000,53.280,64.160,0.000,0.000,117.440,-117.440,4.660
Odisha,Gajapati,Rayagada,,Po,0.000,68.750,0.000,NA,NA,31.060,31.060,37.690,NA
Odisha,Gajapati,Rayagada,,Grand Total,-0.180,630.300,514.960,193.330,0.000,31.060,739.340,-109.040,27.400
Odisha,Ganjam,Aska,1,Allipur,0.000,18.750,15.090,3.660,0.000,0.000,18.750,0.000,0.180
Odisha,Ganjam,Aska,2,Babanpur,0.000,33.120,27.990,5.030,0.000,0.000,33.030,0.090,0.090
Odisha,Ganjam,Aska,3,Badakholi,0.000,1.290,1.290,0.000,0.000,0.000,1.290,0.000,0.000
Odisha,Ganjam,Aska,4,Balichhai,0.000,22.070,17.080,4.990,0.000,0.000,22.070,0.000,0.020
Odisha,Ganjam,Aska,5,Balisira,0.000,12.070,9.910,2.160,0.000,0.000,12.070,0.000,0.130
Odisha,Ganjam,Aska,6,Bangarada,0.000,71.350,37.370,33.980,0.000,0.000,71.350,0.000,0.150
Odisha,Ganjam,Aska,7,Baragam,0.000,16.830,10.600,6.230,0.000,0.000,16.830,0.000,0.230
Odisha,Ganjam,Aska,8,Benapat,0.000,15.710,14.110,1.600,0.000,0.000,15.710,0.000,0.150
Odisha,Ganjam,Aska,9,Bhetanai,0.000,11.270,8.060,3.220,0.000,0.000,11.270,0.000,0.880
Odisha,Ganjam,Aska,10,Chadhiapalli,0.000,29.620,25.050,4.400,0.000,0.000,29.450,0.170,0.260
Odisha,Ganjam,Aska,11,Debabhumi,0.000,58.460,43.820,14.650,0.000,0.000,58.460,0.000,0.560
Odisha,Ganjam,Aska,12,Gahangu,0.000,5.250,5.250,0.000,0.000,0.000,5.250,0.000,0.090
Odisha,Ganjam,Aska,13,Gangapur,0.000,33.130,27.720,5.390,0.000,0.000,33.120,0.010,0.480
Odisha,Ganjam,Aska,14,Gunthapada,0.000,33.930,29.640,3.800,0.000,0.000,33.440,0.490,0.340
Odisha,Ganjam,Aska,15,Haridapadar,0.000,27.690,21.920,5.770,0.000,0.000,27.690,0.000,1.870
Odisha,Ganjam,Aska,16,Jayapur,0.000,26.270,18.540,7.730,0.000,0.000,26.270,0.000,0.420
Odisha,Ganjam,Aska,17,Kalasandhapur,0.000,27.720,19.310,8.410,0.000,0.000,27.720,0.000,0.370
Odisha,Ganjam,Aska,18,Kamagada,0.000,3.410,2.990,0.440,0.000,0.000,3.430,-0.020,0.000
Odisha,Ganjam,Aska,19,Kendupadar,0.000,47.410,36.520,10.900,0.000,0.000,47.410,0.000,0.020
Odisha,Ganjam,Aska,20,Khandadeuli,0.000,19.540,15.560,3.980,0.000,0.000,19.540,0.000,0.770
Odisha,Ganjam,Aska,21,Kharia,0.000,78.010,61.520,16.500,0.000,0.000,78.020,-0.010,0.140
Odisha,Ganjam,Aska,22,Mangalpur,0.000,1.310,1.310,0.000,0.000,0.000,1.310,0.000,0.050
Odisha,Ganjam,Aska,23,Munigadi,0.000,29.890,27.450,2.460,0.000,0.000,29.910,-0.020,0.300
Odisha,Ganjam,Aska,24,Nalabanta,0.000,27.830,23.540,4.290,0.000,0.000,27.830,0.000,0.040
Odisha,Ganjam,Aska,25,Nimina,0.000,62.410,53.110,9.310,0.000,0.000,62.410,0.000,0.100
Odisha,Ganjam,Aska,26,Pandiapathar,0.000,42.760,36.210,6.550,0.000,0.000,42.760,0.000,0.160
Odisha,Ganjam,Aska,27,Sidhanai,0.000,28.490,21.630,6.950,0.000,0.000,28.580,-0.080,1.020
Odisha,Ganjam,Aska,,Total,0.000,785.580,612.570,172.390,0.000,0.000,784.960,0.620,8.790
Odisha,Ganjam,Aska,,Block Level Line Deptt.,-0.230,-0.230,448.590,139.880,0.240,4.950,593.660,-593.890,5.750
Odisha,Ganjam,Aska,,Po,0.000,465.960,0.000,NA,NA,36.960,36.960,429.000,NA
Odisha,Ganjam,Aska,,Grand Total,-0.230,1251.310,1061.160,312.270,0.240,41.910,1415.580,-164.270,14.540
Odisha,Ganjam,Beguniapada,1,Angaragam,0.000,26.510,26.230,0.280,0.000,0.000,26.510,0.000,1.900
Odisha,Ganjam,Beguniapada,2,Bada Khairakhama,0.000,5.390,5.350,0.000,0.000,0.000,5.350,0.040,0.060
Odisha,Ganjam,Beguniapada,3,Beguniapada,0.000,5.660,5.840,0.000,0.000,0.000,5.840,-0.180,0.060
Odisha,Ganjam,Beguniapada,4,Beruanbadi,0.000,16.950,16.800,0.000,0.000,0.000,16.800,0.150,0.120
Odisha,Ganjam,Beguniapada,5,Burujhari,0.000,28.600,27.400,1.140,0.000,0.000,28.540,0.070,0.190
Odisha,Ganjam,Beguniapada,6,Chandanpur,0.000,24.210,21.790,2.320,0.000,0.000,24.110,0.110,0.230
Odisha,Ganjam,Beguniapada,7,Chingudikhol,0.000,5.180,5.060,0.000,0.000,0.000,5.060,0.120,0.000
Odisha,Ganjam,Beguniapada,8,Digapada,0.000,6.530,6.530,0.000,0.000,0.000,6.530,0.000,0.110
Odisha,Ganjam,Beguniapada,9,Ghodapada,0.000,6.930,6.820,0.000,0.000,0.000,6.820,0.110,0.110
Odisha,Ganjam,Beguniapada,10,K.Barida,0.000,40.160,38.490,1.690,0.000,0.000,40.180,-0.020,0.680
Odisha,Ganjam,Beguniapada,11,Kalimeghi,0.000,11.590,11.640,0.000,0.000,0.000,11.640,-0.050,0.210
Odisha,Ganjam,Beguniapada,12,Khandianai,0.000,23.860,22.220,1.570,0.000,0.000,23.790,0.060,0.420
Odisha,Ganjam,Beguniapada,13,Kumbharagam,0.000,3.880,4.090,0.000,0.000,0.000,4.090,-0.210,0.170
Odisha,Ganjam,Beguniapada,14,Mardakote,0.000,11.640,9.340,1.940,0.000,0.000,11.280,0.370,0.030
Odisha,Ganjam,Beguniapada,15,Mardamekha,0.000,1.760,1.770,0.000,0.000,0.000,1.770,-0.010,0.110
Odisha,Ganjam,Beguniapada,16,Mathasarasingi,0.000,5.010,5.060,0.000,0.000,0.000,5.060,-0.050,0.200
Odisha,Ganjam,Beguniapada,17,Phasi,0.000,9.890,9.890,0.000,0.000,0.000,9.890,0.000,0.380
Odisha,Ganjam,Beguniapada,18,Sanaustapada,0.000,4.810,4.810,0.000,0.000,0.000,4.810,0.000,0.100
Odisha,Ganjam,Beguniapada,19,Sandhamula,0.000,6.680,4.390,2.510,0.000,0.000,6.900,-0.220,0.070
Odisha,Ganjam,Beguniapada,20,Sankuda,0.000,20.050,20.070,0.000,0.000,0.000,20.070,-0.020,1.110
Odisha,Ganjam,Beguniapada,21,Soura Chachina,0.000,5.230,5.170,0.000,0.000,0.000,5.170,0.050,0.080
Odisha,Ganjam,Beguniapada,22,Sumandal,0.000,21.690,21.480,0.210,0.000,0.000,21.690,0.000,0.560
Odisha,Ganjam,Beguniapada,23,Talasara,0.000,16.230,16.110,0.080,0.000,0.000,16.190,0.040,0.710
Odisha,Ganjam,Beguniapada,,Total,0.000,308.460,296.370,11.740,0.000,0.000,308.110,0.340,7.580
Odisha,Ganjam,Beguniapada,,Block Level Line Deptt.,-0.020,-0.020,635.680,175.180,1.140,3.620,815.610,-815.630,11.600
Odisha,Ganjam,Beguniapada,,Po,0.000,681.820,0.000,NA,NA,52.390,52.390,629.430,NA
Odisha,Ganjam,Beguniapada,,Grand Total,-0.020,990.260,932.050,186.920,1.140,56.010,1176.110,-185.860,19.180
Odisha,Ganjam,Bellaguntha,1,Ambapua,0.000,10.690,10.690,0.000,0.000,0.000,10.690,0.000,0.200
Odisha,Ganjam,Bellaguntha,2,Badaborasingi,0.000,14.480,14.460,0.350,0.000,0.000,14.800,-0.320,0.800
Odisha,Ganjam,Bellaguntha,3,Badapada,0.000,23.180,19.840,3.340,0.000,0.000,23.180,0.000,0.310
Odisha,Ganjam,Bellaguntha,4,Banka,0.000,17.750,17.110,0.430,0.000,0.000,17.540,0.210,0.340
Odisha,Ganjam,Bellaguntha,5,Benipalli,0.000,30.160,25.790,4.350,0.000,0.000,30.150,0.010,0.200
Odisha,Ganjam,Bellaguntha,6,Dhumuchai,0.000,31.300,14.550,16.730,0.020,0.000,31.300,0.000,0.250
Odisha,Ganjam,Bellaguntha,7,G.Nuagam,0.000,23.460,21.280,2.190,0.000,0.000,23.460,0.000,0.040
Odisha,Ganjam,Bellaguntha,8,Gangapur,0.000,51.190,22.460,28.320,0.410,0.000,51.190,0.000,0.420
Odisha,Ganjam,Bellaguntha,9,Gobara,0.000,23.580,19.900,3.720,0.090,0.000,23.710,-0.130,0.030
Odisha,Ganjam,Bellaguntha,10,Inginathi,0.000,23.150,15.900,6.920,0.000,0.000,22.820,0.330,0.000
Odisha,Ganjam,Bellaguntha,11,Khairputi,0.000,28.500,29.460,0.000,0.000,0.000,29.460,-0.960,0.290
Odisha,Ganjam,Bellaguntha,12,Khetribarpur,-1.350,28.410,19.790,10.110,0.060,0.000,29.970,-1.550,0.200
Odisha,Ganjam,Bellaguntha,13,Mangalpur,0.000,51.770,29.610,21.590,0.440,0.000,51.640,0.130,1.380
Odisha,Ganjam,Bellaguntha,14,Nettenga,0.000,60.910,28.220,32.700,0.000,0.000,60.910,0.000,0.080
Odisha,Ganjam,Bellaguntha,15,Pailipada,-0.010,53.120,36.640,16.310,0.180,0.000,53.130,-0.010,0.940
Odisha,Ganjam,Bellaguntha,16,Sasan,0.000,22.370,16.870,5.500,0.000,0.000,22.370,0.000,0.140
Odisha,Ganjam,Bellaguntha,17,Tanarada,0.000,12.950,11.060,1.800,0.000,0.000,12.870,0.080,0.160
Odisha,Ganjam,Bellaguntha,18,Udhra,0.000,27.680,18.680,9.020,0.000,0.000,27.700,-0.020,0.510
Odisha,Ganjam,Bellaguntha,,Total,-1.360,534.670,372.310,163.390,1.210,0.000,536.910,-2.250,6.280
Odisha,Ganjam,Bellaguntha,,Block Level Line Deptt.,-0.010,-0.010,471.620,170.750,0.010,0.640,643.020,-643.030,6.060
Odisha,Ganjam,Bellaguntha,,Po,-0.570,574.840,0.000,NA,NA,37.440,37.440,537.400,NA
Odisha,Ganjam,Bellaguntha,,Grand Total,-1.950,1109.500,843.930,334.140,1.220,38.080,1217.370,-107.880,12.340
Odisha,Ganjam,Bhanjanagar,1,Badakodanda,0.000,21.960,21.960,0.000,0.000,0.000,21.960,0.000,15.380
Odisha,Ganjam,Bhanjanagar,2,Baibali,0.000,28.480,28.480,0.000,0.000,0.000,28.480,0.000,0.130
Odisha,Ganjam,Bhanjanagar,3,Baruda,0.000,10.130,10.400,0.000,0.000,0.000,10.400,-0.270,0.890
Odisha,Ganjam,Bhanjanagar,4,Baunsalundi,0.000,6.230,5.430,0.800,0.000,0.000,6.230,0.000,0.290
Odisha,Ganjam,Bhanjanagar,5,Brahmanapadar,0.000,34.600,33.240,1.350,0.000,0.000,34.590,0.010,7.080
Odisha,Ganjam,Bhanjanagar,6,Dadaralunda,0.000,26.550,18.410,8.140,0.000,0.000,26.550,0.000,0.520
Odisha,Ganjam,Bhanjanagar,7,Dhiapadhal,1.500,8.000,5.260,1.200,0.000,0.000,6.460,1.550,0.050
Odisha,Ganjam,Bhanjanagar,8,Domuhani,0.000,55.720,21.040,34.670,0.000,0.000,55.710,0.010,1.210
Odisha,Ganjam,Bhanjanagar,9,Dumakumpa,0.000,44.470,41.680,1.860,0.000,0.000,43.550,0.920,2.230
Odisha,Ganjam,Bhanjanagar,10,Gallery,0.000,15.250,15.250,0.000,0.000,0.000,15.250,0.000,0.210
Odisha,Ganjam,Bhanjanagar,11,Golapada,0.000,18.950,18.950,0.000,0.000,0.000,18.950,0.000,0.810
Odisha,Ganjam,Bhanjanagar,12,Gunduribadi,0.000,16.890,16.840,0.000,0.000,0.000,16.840,0.040,5.040
Odisha,Ganjam,Bhanjanagar,13,Harigada,0.000,37.890,38.730,0.000,0.000,0.000,38.730,-0.840,0.970
Odisha,Ganjam,Bhanjanagar,14,Jillundi,0.000,20.080,20.080,0.000,0.000,0.000,20.080,0.000,0.190
Odisha,Ganjam,Bhanjanagar,15,Kulada,0.000,8.450,5.380,3.090,0.000,0.000,8.460,-0.010,0.160
Odisha,Ganjam,Bhanjanagar,16,Lalsingi,0.000,27.410,27.370,0.000,0.000,0.000,27.370,0.040,0.240
Odisha,Ganjam,Bhanjanagar,17,Lembhei,1.500,30.320,25.630,3.150,0.000,0.000,28.790,1.530,0.700
Odisha,Ganjam,Bhanjanagar,18,Mudulipalli,0.000,1.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000
Odisha,Ganjam,Bhanjanagar,19,Mujagada,0.000,19.610,19.610,0.000,0.000,0.000,19.610,0.000,0.910
Odisha,Ganjam,Bhanjanagar,20,Sanakodanda,0.000,43.820,42.890,0.940,0.000,0.000,43.820,0.000,0.360
Odisha,Ganjam,Bhanjanagar,21,Tilisingi,0.000,16.920,15.240,1.670,0.000,0.000,16.920,0.000,0.250
Odisha,Ganjam,Bhanjanagar,22,Turumu,0.000,42.330,42.670,0.000,0.000,0.000,42.670,-0.330,0.070
Odisha,Ganjam,Bhanjanagar,,Total,3.000,535.060,475.550,56.870,0.000,0.000,532.420,2.640,37.690
Odisha,Ganjam,Bhanjanagar,,Block Level Line Deptt.,-0.290,-0.290,350.360,209.140,0.070,3.950,563.530,-563.820,3.840
Odisha,Ganjam,Bhanjanagar,,Po,-0.870,384.090,0.000,NA,NA,31.410,31.410,352.680,NA
Odisha,Ganjam,Bhanjanagar,,Grand Total,1.840,918.860,825.910,266.010,0.070,35.360,1127.360,-208.500,41.530
Odisha,Ganjam,Buguda,1,A.Karadabadi,0.000,21.790,17.150,4.660,0.000,0.000,21.820,-0.030,0.000
Odisha,Ganjam,Buguda,2,Antarapada,0.000,6.730,4.590,2.140,0.000,0.000,6.730,0.000,0.300
Odisha,Ganjam,Buguda,3,Arakhapur,0.000,15.940,9.640,6.290,0.000,0.000,15.930,0.010,0.120
Odisha,Ganjam,Buguda,4,B.Karadabadi,0.000,8.350,8.230,0.120,0.000,0.000,8.350,0.000,0.010
Odisha,Ganjam,Buguda,5,Balipadara,0.000,19.900,6.760,13.150,0.000,0.000,19.900,0.000,0.080
Odisha,Ganjam,Buguda,6,Bhagabanpur,0.000,26.570,16.510,10.040,0.000,0.000,26.550,0.020,0.090
Odisha,Ganjam,Buguda,7,Bhamasiali,0.000,3.890,3.840,0.050,0.000,0.000,3.890,0.000,0.050
Odisha,Ganjam,Buguda,8,Biranchipur,0.000,18.200,12.540,5.640,0.000,0.000,18.170,0.020,0.070
Odisha,Ganjam,Buguda,9,Golabandha,0.000,10.110,8.390,1.720,0.000,0.000,10.110,0.000,0.030
Odisha,Ganjam,Buguda,10,Golia,0.000,12.520,12.530,0.000,0.000,0.000,12.530,-0.010,2.530
Odisha,Ganjam,Buguda,11,Goudiabarada,0.000,18.190,13.270,4.920,0.000,0.000,18.190,0.000,0.460
Odisha,Ganjam,Buguda,12,Kalamba,0.000,19.700,8.370,11.320,0.000,0.000,19.700,0.000,1.530
Odisha,Ganjam,Buguda,13,Karasingi,0.000,25.900,20.880,4.660,0.020,0.000,25.560,0.340,0.250
Odisha,Ganjam,Buguda,14,Karchuli,0.000,50.910,36.840,14.000,0.000,0.000,50.840,0.060,0.410
Odisha,Ganjam,Buguda,15,Kholakhalli,0.000,46.440,20.550,25.930,0.000,0.000,46.490,-0.050,0.000
Odisha,Ganjam,Buguda,16,Manitara,0.000,31.060,22.370,8.690,0.000,0.000,31.060,0.000,0.040
Odisha,Ganjam,Buguda,17,Motabadi,0.000,18.800,11.840,6.860,0.000,0.000,18.710,0.090,0.110
Odisha,Ganjam,Buguda,18,Pangidi,0.000,36.130,20.560,15.510,0.000,0.000,36.060,0.070,0.240
Odisha,Ganjam,Buguda,19,Pochalundi,0.000,4.300,4.300,0.000,0.000,0.000,4.300,0.000,0.090
Odisha,Ganjam,Buguda,20,Sankuru,0.000,9.790,5.280,4.520,0.000,0.000,9.790,0.000,0.010
Odisha,Ganjam,Buguda,21,Takarada,0.000,17.420,10.710,6.710,0.000,0.000,17.420,0.000,0.000
Odisha,Ganjam,Buguda,,Total,0.000,422.650,275.170,146.930,0.020,0.000,422.120,0.530,6.420
Odisha,Ganjam,Buguda,,Block Level Line Deptt.,0.000,0.000,253.560,174.630,0.100,2.320,430.620,-430.620,2.180
Odisha,Ganjam,Buguda,,Po,0.000,293.360,0.000,NA,NA,35.740,35.740,257.620,NA
Odisha,Ganjam,Buguda,,Grand Total,0.000,716.010,528.730,321.560,0.120,38.060,888.480,-172.470,8.600
Odisha,Ganjam,Chhatrapur,1,Agastinuagam,0.000,32.780,19.150,13.640,0.000,0.000,32.780,0.000,0.270
Odisha,Ganjam,Chhatrapur,2,Aryapalli,0.000,24.150,12.840,11.310,0.000,0.000,24.150,0.000,0.140
Odisha,Ganjam,Chhatrapur,3,Badamadhapur,0.000,13.500,9.950,3.560,0.000,0.000,13.500,0.000,0.070
Odisha,Ganjam,Chhatrapur,4,Baulagam,0.000,26.170,10.480,15.700,0.000,0.000,26.170,0.000,0.090
Odisha,Ganjam,Chhatrapur,5,Bhikaripalli,0.000,29.930,22.080,7.550,0.000,0.000,29.630,0.300,0.400
Odisha,Ganjam,Chhatrapur,6,Bipulingi,0.000,44.010,28.350,14.700,0.000,0.000,43.060,0.950,0.170
Odisha,Ganjam,Chhatrapur,7,Chamakhandi,0.000,15.690,9.830,5.690,0.000,0.000,15.520,0.170,0.170
Odisha,Ganjam,Chhatrapur,8,Chikalakhandi,0.000,42.220,29.040,13.180,0.000,0.000,42.220,0.000,0.670
Odisha,Ganjam,Chhatrapur,9,Kalipalli,0.000,15.310,10.680,4.640,0.000,0.000,15.310,0.000,0.000
Odisha,Ganjam,Chhatrapur,10,Konamana,0.000,32.720,21.860,10.570,0.000,0.000,32.430,0.290,0.720
Odisha,Ganjam,Chhatrapur,11,Laxmipur,0.000,25.740,20.750,4.970,0.000,0.000,25.720,0.020,0.030
Odisha,Ganjam,Chhatrapur,12,Mahanadapur,0.000,2.640,2.420,0.210,0.000,0.000,2.640,0.000,0.020
Odisha,Ganjam,Chhatrapur,13,Narendrapur,0.000,20.250,19.130,1.130,0.000,0.000,20.250,0.000,0.000
Odisha,Ganjam,Chhatrapur,14,Podapadar,0.000,26.540,21.780,4.760,0.000,0.000,26.540,0.000,0.020
Odisha,Ganjam,Chhatrapur,15,Potalampur,0.000,46.240,19.990,26.250,0.000,0.000,46.240,0.000,0.200
Odisha,Ganjam,Chhatrapur,16,Sriramachandrapur,0.000,57.110,30.010,26.830,0.000,0.000,56.840,0.280,0.470
Odisha,Ganjam,Chhatrapur,17,Sundarpur,0.000,10.990,8.090,2.900,0.000,0.000,10.990,0.000,0.210
Odisha,Ganjam,Chhatrapur,18,Tanganapalli,0.000,88.180,70.220,17.070,0.000,0.000,87.280,0.900,0.490
Odisha,Ganjam,Chhatrapur,,Total,0.000,554.170,366.620,184.660,0.000,0.000,551.280,2.890,4.130
Odisha,Ganjam,Chhatrapur,,Block Level Line Deptt.,-5.000,-5.000,274.990,197.790,0.850,3.500,477.130,-482.130,2.750
Odisha,Ganjam,Chhatrapur,,Po,0.000,404.050,0.000,NA,NA,29.970,29.970,374.080,NA
Odisha,Ganjam,Chhatrapur,,Grand Total,-5.000,953.220,641.610,382.450,0.850,33.470,1058.380,-105.160,6.880
Odisha,Ganjam,Chikiti,1,Chandapur,0.000,47.730,33.670,14.070,0.000,0.000,47.740,-0.010,0.220
Odisha,Ganjam,Chikiti,2,Ekasingi,0.000,33.250,32.150,1.100,0.000,0.000,33.250,0.000,0.000
Odisha,Ganjam,Chikiti,3,Girisola,0.000,84.480,78.520,6.040,0.000,0.000,84.560,-0.080,0.070
Odisha,Ganjam,Chikiti,4,Gobindanagar,0.000,43.100,41.200,1.900,0.000,0.000,43.100,0.000,0.410
Odisha,Ganjam,Chikiti,5,Jhatipadar,0.000,99.530,79.240,20.340,0.000,0.000,99.580,-0.050,0.220
Odisha,Ganjam,Chikiti,6,K.Nuagam,0.000,92.720,68.900,23.820,0.000,0.000,92.720,0.000,0.100
Odisha,Ganjam,Chikiti,7,Kalabada,0.000,55.870,51.040,4.530,0.000,0.000,55.570,0.300,0.060
Odisha,Ganjam,Chikiti,8,Katuru,0.000,81.280,73.050,8.240,0.000,0.000,81.290,-0.010,0.030
Odisha,Ganjam,Chikiti,9,Kotilingi,0.000,62.020,58.230,3.850,0.000,0.000,62.070,-0.060,0.320
Odisha,Ganjam,Chikiti,10,Lalamenta,0.000,66.150,58.300,7.860,0.000,0.000,66.160,-0.010,0.310
Odisha,Ganjam,Chikiti,11,Nuapada,0.000,22.420,17.500,4.930,0.000,0.000,22.420,0.000,0.020
Odisha,Ganjam,Chikiti,12,Pitatali,0.000,109.870,99.190,10.650,0.000,0.000,109.850,0.020,0.680
Odisha,Ganjam,Chikiti,13,R.Subani,0.000,49.430,49.120,0.440,0.000,0.000,49.560,-0.120,0.000
Odisha,Ganjam,Chikiti,14,Ramachandrapur,0.000,113.410,96.090,17.330,0.000,0.000,113.410,0.000,0.220
Odisha,Ganjam,Chikiti,15,Rampa,0.000,88.740,80.090,8.660,0.000,0.000,88.740,0.000,0.120
Odisha,Ganjam,Chikiti,16,Sunapur,0.000,91.530,67.400,24.210,0.000,0.000,91.610,-0.090,0.830
