s_state,s_district,s_block,Sl.No,s_gp,SC,ST,Minority,Others,Total,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,anugul,pallahara,14,khemala,28.5,95.1,0,32.7,156.3,192,anugul,pallahara,khemala
odisha,anugul,pallahara,15,kunjam,14.7,49.9,0,12.4,77,193,anugul,pallahara,kunjam
odisha,anugul,pallahara,16,munduribeda,22.4,38.1,0,24.7,85.2,194,anugul,pallahara,munduribeda
odisha,anugul,pallahara,17,nagira,0,35.8,0,0.7,36.5,195,anugul,pallahara,nagira
odisha,anugul,pallahara,18,namapashi,2.8,101.8,0,21.2,125.8,196,anugul,pallahara,namapashi
odisha,anugul,pallahara,19,nijigada,44.1,21,0,30.1,95.2,197,anugul,pallahara,nijigada
odisha,anugul,pallahara,20,pabitrapur,13.2,6.3,0,27.1,46.6,198,anugul,pallahara,pabitrapur
odisha,anugul,pallahara,21,parachhata,31.2,42,0,35.9,109.1,199,anugul,pallahara,parachhata
odisha,anugul,pallahara,22,pechamundi,15.1,67.6,0,11.1,93.8,200,anugul,pallahara,pechamundi
odisha,anugul,pallahara,23,rajadang,4.4,4.9,0,15.6,24.9,201,anugul,pallahara,rajadang
odisha,anugul,pallahara,24,rohila,7.1,126.6,0,52,185.7,202,anugul,pallahara,rohila
odisha,anugul,pallahara,25,saida,1,54.4,0,9.9,65.3,203,anugul,pallahara,saida
odisha,anugul,pallahara,26,sankhamur,49.8,63.3,0,38.5,151.6,204,anugul,pallahara,sankhamur
odisha,anugul,pallahara,27,seagarh,23.5,90.8,0,12.3,126.6,205,anugul,pallahara,seagarh
odisha,anugul,talcher,1,badajorada,0,0,0,1.2,1.2,206,anugul,talcher,badajorada
odisha,anugul,talcher,2,brajanathpur,0,0.4,0,0,0.4,207,anugul,talcher,brajanathpur
odisha,anugul,talcher,3,danara,0.7,0,0,0,0.7,208,anugul,talcher,danara
odisha,anugul,talcher,4,dharampur,0.7,0.9,0,0,1.6,209,anugul,talcher,dharampur
odisha,anugul,talcher,5,ghantapada,0,0,0,1.2,1.2,210,anugul,talcher,ghantapada
odisha,anugul,talcher,6,gurujang,0,9.8,0,0,9.8,211,anugul,talcher,gurujang
odisha,anugul,talcher,7,gurujanguli,0.3,1.2,0,1.2,2.7,212,anugul,talcher,gurujanguli
odisha,anugul,talcher,8,hensmul,1.2,0,0,0.5,1.7,213,anugul,talcher,hensmul
odisha,anugul,talcher,9,kandhal,4.8,5.6,0,0,10.4,214,anugul,talcher,kandhal
odisha,anugul,talcher,10,kankili,0.7,0,0,0,0.7,215,anugul,talcher,kankili
odisha,anugul,talcher,11,karnapur,0.7,0,0,1.2,1.9,216,anugul,talcher,karnapur
odisha,anugul,talcher,12,kumunda,0.6,0,0,0,0.6,217,anugul,talcher,kumunda
odisha,anugul,talcher,13,santhapada,1.2,1.2,0,0.2,2.6,218,anugul,talcher,santhapada
odisha,anugul,talcher,14,tentulei,0,0,0,1,1,219,anugul,talcher,tentulei
odisha,anugul,talcher,15,bantol,NA,NA,NA,NA,NA,220,anugul,talcher,bantol
odisha,anugul,talcher,16,dera,NA,NA,NA,NA,NA,221,anugul,talcher,dera
odisha,anugul,talcher,17,gobra,NA,NA,NA,NA,NA,222,anugul,talcher,gobra
odisha,anugul,talcher,18,gopal prasad,NA,NA,NA,NA,NA,223,anugul,talcher,gopal prasad
odisha,anugul,talcher,19,jaganathpur,NA,NA,NA,NA,NA,224,anugul,talcher,jaganathpur
odisha,anugul,talcher,20,kalamchuin,NA,NA,NA,NA,NA,225,anugul,talcher,kalamchuin
odisha,anugul,talcher,21,padmabatipur,NA,NA,NA,NA,NA,226,anugul,talcher,padmabatipur
odisha,balasore,bahanaga,1,anji,4,0,0,39.5,43.5,227,balasore,bahanaga,anji
odisha,balasore,bahanaga,2,aruhabad,17.3,0,0,19.6,36.9,228,balasore,bahanaga,aruhabad
odisha,balasore,bahanaga,3,avana,12.8,0,0,19.4,32.2,229,balasore,bahanaga,avana
odisha,balasore,bahanaga,4,bahanaga,28.6,2.2,0,23.2,54,230,balasore,bahanaga,bahanaga
odisha,balasore,bahanaga,5,baripada,97.6,0,0,30.3,127.9,231,balasore,bahanaga,baripada
odisha,balasore,bahanaga,6,bishnupur,10.7,0,0,19.2,29.9,232,balasore,bahanaga,bishnupur
