g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc,s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Openning Balance for FY 2018-19,Total Fund Available for the FY 2018-19,Total Expenditure on Wages for FY 2018-19,Total Expenditure on Materials for FY 2018-19,Total Expenditure on Tax for FY 2018-19,Total Expenditure on Admin Expenses  for FY 2018-19,Grand Total Expenditure for FY 2018-19,Total Unspent Balance for FY 2018-19,Total Payment Due for FY 2018-19,updated_district_name,updated_block_name,updated_gp_name
94,4698,baragarh,yes,bijepur,yes,pahandi,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,17,pahandi,1.08,7.66,6.91,2.56,0,0,9.47,-1.81,0.08,baragarh,bijepur,pahandi
95,4699,baragarh,yes,bijepur,yes,patharla,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,18,patharla,3.15,5.31,14.14,0.53,0,0,14.67,-9.36,0,baragarh,bijepur,patharla
96,4700,baragarh,yes,bijepur,yes,saipali,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,19,saipali,0.74,1.75,11.62,0.44,0,0,12.06,-10.31,0.07,baragarh,bijepur,saipali
97,4701,baragarh,yes,bijepur,yes,samaleipadar,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,20,samaleipadar,1.18,3.47,4.41,0.88,0,0,5.29,-1.82,0.03,baragarh,bijepur,samaleipadar
98,4702,baragarh,yes,bijepur,yes,sanbausen,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,21,sanbausen,3.06,26.34,16.49,8.9,0,0,25.39,0.95,0,baragarh,bijepur,sanbausen
99,4703,baragarh,yes,bijepur,yes,surubali,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,22,surubali,1.02,2.49,5.69,4.45,0,0,10.14,-7.65,0.04,baragarh,bijepur,surubali
100,4704,baragarh,yes,bijepur,yes,t.gandpali,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,23,t.gandpali,1.46,2.5,11.74,2.87,0,0,14.61,-12.11,0.02,baragarh,bijepur,t.gandpali
101,4705,baragarh,yes,bijepur,yes,talpadar,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,24,talpadar,0,18.94,17.84,7.52,0.02,0,25.38,-6.43,0,baragarh,bijepur,talpadar
102,4638,baragarh,yes,barpali,yes,patkulunda,yes,2,2 bijepur,bargarh,odisha,baragarh,barpali,17,patkulunda,0,8.21,8.76,5.36,0,0,14.12,-5.91,0.16,baragarh,barpali,patkulunda
103,4622,baragarh,yes,barpali,yes,agalpur,yes,2,2 bijepur,bargarh,odisha,baragarh,barpali,1,agalpur,0,7.87,8.87,3.42,0,0,12.29,-4.42,0.15,baragarh,barpali,agalpur
104,4624,baragarh,yes,barpali,yes,bandhpali,yes,2,2 bijepur,bargarh,odisha,baragarh,barpali,3,bandhpali,0,5.67,6,0.45,0,0,6.46,-0.79,0.1,baragarh,barpali,bandhpali
105,4626,baragarh,yes,barpali,yes,barguda,yes,2,2 bijepur,bargarh,odisha,baragarh,barpali,5,barguda,0,9.7,10,0,0,0,10,-0.29,0,baragarh,barpali,barguda
106,4627,baragarh,yes,barpali,yes,bhatigaon,yes,2,2 bijepur,bargarh,odisha,baragarh,barpali,6,bhatigaon,0,7.63,5.21,2.74,0,0,7.94,-0.31,0.02,baragarh,barpali,bhatigaon
107,4628,baragarh,yes,barpali,yes,gopeipali,yes,2,2 bijepur,bargarh,odisha,baragarh,barpali,7,gopeipali,0,4.3,4.32,0,0,0,4.32,-0.02,0.08,baragarh,barpali,gopeipali
108,4629,baragarh,yes,barpali,yes,kainsir,yes,2,2 bijepur,bargarh,odisha,baragarh,barpali,8,kainsir,0,7.42,7.54,4.07,0,0,11.61,-4.19,0,baragarh,barpali,kainsir
109,4632,baragarh,yes,barpali,yes,khemasara,yes,2,2 bijepur,bargarh,odisha,baragarh,barpali,11,khemasara,0,10.18,10.18,2.47,0,0,12.65,-2.47,0,baragarh,barpali,khemasara
110,4636,baragarh,yes,barpali,yes,mahada,yes,2,2 bijepur,bargarh,odisha,baragarh,barpali,15,mahada,0,7.63,7.63,0,0,0,7.63,0,0.01,baragarh,barpali,mahada
111,4639,baragarh,yes,barpali,yes,raxa,yes,2,2 bijepur,bargarh,odisha,baragarh,barpali,18,raxa,0,9.54,5.09,4.45,0,0,9.54,0,0.09,baragarh,barpali,raxa
112,4640,baragarh,yes,barpali,yes,remta,yes,2,2 bijepur,bargarh,odisha,baragarh,barpali,19,remta,0,2.59,2.59,0,0,0,2.59,0,0,baragarh,barpali,remta
113,4641,baragarh,yes,barpali,yes,satalama,yes,2,2 bijepur,bargarh,odisha,baragarh,barpali,20,satalama,0,10.55,10.52,1.72,0,0,12.24,-1.69,0.39,baragarh,barpali,satalama
