g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc,s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Opening Balance For FY 2019-20,Total Fund Available For  FY 2019-20,Total Expenditure on Wages For FY 2019-20,Total Expenditure On Materials For FY 2019-20,Total Tax Paid For FY 2019-20,Total Admin Expenses  For FY 2019-20,Grand Total Expenditure For FY 2019-20,Total Unspent Balance For FY 2019-20,Total Payment Due For FY 2019-20,updated_district_name,updated_block_name,updated_gp_name
71,4718,baragarh,yes,gaisilet,yes,katabahal,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,13,katabahal,0,49.86,27.64,20.76,2.08,0,50.48,-0.62,0.14,baragarh,gaisilet,katabahal
72,4719,baragarh,yes,gaisilet,yes,kathaumal,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,14,kathaumal,0,40.54,41.26,2.06,0,0,43.32,-2.77,0,baragarh,gaisilet,kathaumal
73,4720,baragarh,yes,gaisilet,yes,kundakhai,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,15,kundakhai,-0.02,16.57,16.6,0,0,0,16.6,-0.03,0.03,baragarh,gaisilet,kundakhai
74,4721,baragarh,yes,gaisilet,yes,raisalpadar,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,16,raisalpadar,0,29.99,30,4.5,0.18,0,34.69,-4.7,0.25,baragarh,gaisilet,raisalpadar
75,4722,baragarh,yes,gaisilet,yes,sandhibahal,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,17,sandhibahal,0,59.21,47.66,20.26,3.15,0,71.07,-11.86,0.11,baragarh,gaisilet,sandhibahal
76,4723,baragarh,yes,gaisilet,yes,sardhapali,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,18,sardhapali,0,80.44,46.84,29.26,4.2,0,80.31,0.13,0.19,baragarh,gaisilet,sardhapali
77,4724,baragarh,yes,gaisilet,yes,talpali,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,19,talpali,0,100.09,49.72,47.94,4.99,0,102.65,-2.55,0.2,baragarh,gaisilet,talpali
78,4682,baragarh,yes,bijepur,yes,badabaunsen,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,1,badabaunsen,2.52,3.42,19.65,0.23,0,0,19.89,-16.47,0.64,baragarh,bijepur,badabaunsen
79,4683,baragarh,yes,bijepur,yes,badbrahmani,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,2,badbrahmani,0,0.23,7.71,0.16,0,0,7.87,-7.64,0,baragarh,bijepur,badbrahmani
80,4684,baragarh,yes,bijepur,yes,bairakhapali,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,3,bairakhapali,0.1,5.84,14.55,11.8,0,0,26.35,-20.52,0.14,baragarh,bijepur,bairakhapali
