g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc,s_state,s_district,s_block,Sl.No,s_gp,SC,ST,Minority,Others,Total,updated_district_name,updated_block_name,updated_gp_name
42,780,baragarh,yes,padampur,yes,jamala,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,11,jamala,11.4,12.3,0,55.5,79.2,baragarh,padampur,jamala
43,779,baragarh,yes,padampur,yes,gyan,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,10,gyan,15.2,7.3,0,37.4,59.9,baragarh,padampur,gyan
44,791,baragarh,yes,padampur,yes,tal,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,22,tal,15.2,15.7,0,43.8,74.7,baragarh,padampur,tal
45,778,baragarh,yes,padampur,yes,dangaghat,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,9,dangaghat,7.3,3.6,0,42.6,53.5,baragarh,padampur,dangaghat
46,776,baragarh,yes,padampur,yes,dahigaon,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,7,dahigaon,44,25,0,35.4,104.4,baragarh,padampur,dahigaon
47,777,baragarh,yes,padampur,yes,dahita,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,8,dahita,31.3,38.6,0,53.4,123.3,baragarh,padampur,dahita
48,788,baragarh,yes,padampur,yes,palsapali,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,19,palsapali,54.2,103.9,0,102,260.1,baragarh,padampur,palsapali
49,789,baragarh,yes,padampur,yes,purena,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,20,purena,7.5,57.1,0,22.4,87,baragarh,padampur,purena
50,771,baragarh,yes,padampur,yes,barikel,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,2,barikel,58.1,64.9,0,51.3,174.3,baragarh,padampur,barikel
51,770,baragarh,yes,padampur,yes,barihapali,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,1,barihapali,14.9,18.1,0,45,78,baragarh,padampur,barihapali
52,773,baragarh,yes,padampur,yes,budamal,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,4,budamal,66.3,38.3,0,51.7,156.3,baragarh,padampur,budamal
53,774,baragarh,yes,padampur,yes,buden,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,5,buden,44.7,67.1,0,36.7,148.5,baragarh,padampur,buden
54,772,baragarh,yes,padampur,yes,bheunria,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,3,bheunria,28.6,14.4,0,27.7,70.7,baragarh,padampur,bheunria
55,786,baragarh,yes,padampur,yes,mahulpali,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,17,mahulpali,16.6,8.7,0,17.8,43.1,baragarh,padampur,mahulpali
56,787,baragarh,yes,padampur,yes,melchhamunda,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,18,melchhamunda,23.8,33.9,0,47.6,105.3,baragarh,padampur,melchhamunda
57,790,baragarh,yes,padampur,yes,sargibahal,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,21,sargibahal,86,85.8,0,50.2,222,baragarh,padampur,sargibahal
58,785,baragarh,yes,padampur,yes,loharpali,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,16,loharpali,10.9,182.1,0,9.7,202.7,baragarh,padampur,loharpali
59,737,baragarh,yes,gaisilet,yes,buromunda,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,1,buromunda,12.1,15,0,19.6,46.7,baragarh,gaisilet,buromunda
