State,District,Block,Sl. No,Name of Gram Panchayat,SC,ST,Minority,Others,Total
Odisha,Baragarh,Gaisilet,1,Buromunda,20.2,33.2,0,22,75.4
Odisha,Baragarh,Gaisilet,2,Chantipali,52.6,94.1,0,77.4,224.1
Odisha,Baragarh,Gaisilet,3,Chikhili,50.7,44.3,0,53.4,148.4
Odisha,Baragarh,Gaisilet,4,Dangbahal,2.4,23.6,0,44.8,70.8
Odisha,Baragarh,Gaisilet,5,Firingimal,18.8,59.7,0,39.8,118.3
Odisha,Baragarh,Gaisilet,6,Gajsilet,28.6,19.7,0,64.8,113.1
Odisha,Baragarh,Gaisilet,7,Ganiapali,12.8,29.2,0,33,75
Odisha,Baragarh,Gaisilet,8,Gauramunda,15.6,12.2,0,37,64.8
Odisha,Baragarh,Gaisilet,9,Guderpali,7.5,7.2,0,35.2,49.9
Odisha,Baragarh,Gaisilet,10,Jagalpat,17,30.7,0,56.6,104.3
Odisha,Baragarh,Gaisilet,11,Jamutpali,14,1.4,0,25.5,40.9
Odisha,Baragarh,Gaisilet,12,Kandagad,5.3,30.9,0,37.5,73.7
Odisha,Baragarh,Gaisilet,13,Katabahal,21.2,16.6,0,29.6,67.4
Odisha,Baragarh,Gaisilet,14,Kathaumal,14,7.6,0,99.9,121.5
Odisha,Baragarh,Gaisilet,15,Kundakhai,12.4,5.9,0,35.3,53.6
Odisha,Baragarh,Gaisilet,16,Raisalpadar,13.9,19,0,64,96.9
Odisha,Baragarh,Gaisilet,17,Sandhibahal,15,9.8,0,48.8,73.6
Odisha,Baragarh,Gaisilet,18,Sardhapali,28,28.3,0,62.2,118.5
Odisha,Baragarh,Gaisilet,19,Talpali,17.1,34.5,0,74.6,126.2
Odisha,Baragarh,Gaisilet,,Total,367.1,507.9,0,941.4,1816.4
Odisha,Baragarh,Jharbandh,1,Amthi,15.5,27.5,0,55.7,98.7
Odisha,Baragarh,Jharbandh,2,Bhainsadarha,12.7,35.2,0,32.9,80.8
Odisha,Baragarh,Jharbandh,3,Bhandarpuri,6.1,26.8,0,13.5,46.4
Odisha,Baragarh,Jharbandh,4,Bilaspur,15,131.1,0,35.4,181.5
Odisha,Baragarh,Jharbandh,5,Chandivata,44.9,50.5,0,35.3,130.7
Odisha,Baragarh,Jharbandh,6,Chotanki,14.6,29.5,0,30.5,74.6
Odisha,Baragarh,Jharbandh,7,Dava,20.9,46.4,0,30.6,97.9
Odisha,Baragarh,Jharbandh,8,Gothuguda,37.1,75.6,0,34.6,147.3
Odisha,Baragarh,Jharbandh,9,Jagdalpur,48.1,49,0,52.9,150
Odisha,Baragarh,Jharbandh,10,Jharbandh,36.3,46.8,0,67.3,150.4
Odisha,Baragarh,Jharbandh,11,Kandadangar,18.9,78.4,0,40.1,137.4
Odisha,Baragarh,Jharbandh,12,Kumir,19.1,34.6,0,49.5,103.2
Odisha,Baragarh,Jharbandh,13,Kurlupali,16.8,26.9,0,35.1,78.8
Odisha,Baragarh,Jharbandh,14,Laudidhara,42.4,38.8,0,47.1,128.3
Odisha,Baragarh,Jharbandh,,Total,348.4,697.1,0,560.5,1606
Odisha,Baragarh,Padampur,1,Barihapali,10.5,26.9,0,50.8,88.2
