s_state,s_district,s_block,Sl. No,s_gp,SC,ST,Minority,Others,Total,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,balasore,bahanaga,12,kasabajaypur,48.4,5.5,0,51.6,105.5,238,balasore,bahanaga,kasabajaypur
odisha,balasore,bahanaga,13,khantapada,23.7,17.7,0.4,41.9,83.7,239,balasore,bahanaga,khantapada
odisha,balasore,bahanaga,14,kharasahapur,33.3,0,1.4,40.7,75.4,240,balasore,bahanaga,kharasahapur
odisha,balasore,bahanaga,15,kochiakoili,8.9,0,0,7.5,16.4,241,balasore,bahanaga,kochiakoili
odisha,balasore,bahanaga,16,kuruda,4.1,0,0,11.9,16,242,balasore,bahanaga,kuruda
odisha,balasore,bahanaga,17,nuapur,35.5,0,0,12.6,48.1,243,balasore,bahanaga,nuapur
odisha,balasore,bahanaga,18,odasal,12.3,0,0,16.2,28.5,244,balasore,bahanaga,odasal
odisha,balasore,bahanaga,19,panapana,20.7,4.3,0,51.5,76.5,245,balasore,bahanaga,panapana
odisha,balasore,bahanaga,20,pandasuni,22.4,0,0,17,39.4,246,balasore,bahanaga,pandasuni
odisha,balasore,bahanaga,21,patharpentha,53.9,1.4,0,37.9,93.2,247,balasore,bahanaga,patharpentha
odisha,balasore,bahanaga,22,sahaspura,6.5,0,10.8,12,29.3,248,balasore,bahanaga,sahaspura
odisha,balasore,bahanaga,23,saud,5.8,3,0,41.7,50.5,249,balasore,bahanaga,saud
odisha,balasore,bahanaga,24,talakurunia,1.4,0.9,0,13.9,16.2,250,balasore,bahanaga,talakurunia
odisha,balasore,balasore,1,alumeda,23.4,0.5,0,21.5,45.4,251,balasore,balasore,alumeda
odisha,balasore,balasore,2,anko,17.9,0,0,32.2,50.1,252,balasore,balasore,anko
odisha,balasore,balasore,3,bahabalpur,2,6.6,1,37.7,47.3,253,balasore,balasore,bahabalpur
odisha,balasore,balasore,4,baincha,34,6.4,0,11.9,52.3,254,balasore,balasore,baincha
odisha,balasore,balasore,5,bardhanpur,116.8,9.8,0,25.2,151.8,255,balasore,balasore,bardhanpur
odisha,balasore,balasore,6,buanl,54.8,12.9,0,34.3,102,256,balasore,balasore,buanl
