g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc
271,3330,jharsuguda,yes,lakhanpur,yes,kushraloi,yes,6,6 brajarajnagar,bargarh
272,3331,jharsuguda,yes,lakhanpur,yes,lakhanpur,yes,6,6 brajarajnagar,bargarh
273,3332,jharsuguda,yes,lakhanpur,yes,machida,yes,6,6 brajarajnagar,bargarh
274,3333,jharsuguda,yes,lakhanpur,yes,palsada,yes,6,6 brajarajnagar,bargarh
275,3334,jharsuguda,yes,lakhanpur,yes,panchagaon,yes,6,6 brajarajnagar,bargarh
276,3335,jharsuguda,yes,lakhanpur,yes,pandari,yes,6,6 brajarajnagar,bargarh
277,3336,jharsuguda,yes,lakhanpur,yes,piplikani,yes,6,6 brajarajnagar,bargarh
278,3337,jharsuguda,yes,lakhanpur,yes,piplimal,yes,6,6 brajarajnagar,bargarh
279,3338,jharsuguda,yes,lakhanpur,yes,pithinda,yes,6,6 brajarajnagar,bargarh
280,3339,jharsuguda,yes,lakhanpur,yes,rampella,yes,6,6 brajarajnagar,bargarh
281,3340,jharsuguda,yes,lakhanpur,yes,remenda,yes,6,6 brajarajnagar,bargarh
282,3341,jharsuguda,yes,lakhanpur,yes,remta,yes,6,6 brajarajnagar,bargarh
283,3342,jharsuguda,yes,lakhanpur,yes,samarbaga,yes,6,6 brajarajnagar,bargarh
284,3343,jharsuguda,yes,lakhanpur,yes,sarandamal,yes,6,6 brajarajnagar,bargarh
285,3344,jharsuguda,yes,lakhanpur,yes,sunari,yes,6,6 brajarajnagar,bargarh
286,3345,jharsuguda,yes,lakhanpur,yes,telenpali,yes,6,6 brajarajnagar,bargarh
287,3346,jharsuguda,yes,lakhanpur,yes,tilia,yes,6,6 brajarajnagar,bargarh
288,3270,jharsuguda,yes,jharsuguda,yes,chandinimal,yes,6,6 brajarajnagar,bargarh
289,3273,jharsuguda,yes,jharsuguda,yes,gourmal,yes,6,6 brajarajnagar,bargarh
290,3285,jharsuguda,yes,jharsuguda,yes,kudopali,yes,6,6 brajarajnagar,bargarh
291,3278,jharsuguda,yes,jharsuguda,yes,loisingh,yes,6,6 brajarajnagar,bargarh
292,3282,jharsuguda,yes,jharsuguda,yes,rajpur,yes,6,6 brajarajnagar,bargarh
293,3269,jharsuguda,yes,jharsuguda,yes,badmal,yes,7,7 jharsuguda,bargarh
294,3271,jharsuguda,yes,jharsuguda,yes,dalki,yes,7,7 jharsuguda,bargarh
295,3272,jharsuguda,yes,jharsuguda,yes,durlaga,yes,7,7 jharsuguda,bargarh
296,3274,jharsuguda,yes,jharsuguda,yes,h.katapali,yes,7,7 jharsuguda,bargarh
297,3275,jharsuguda,yes,jharsuguda,yes,hirma,yes,7,7 jharsuguda,bargarh
298,3276,jharsuguda,yes,jharsuguda,yes,jamera,yes,7,7 jharsuguda,bargarh
299,3277,jharsuguda,yes,jharsuguda,yes,katikela,yes,7,7 jharsuguda,bargarh
300,3279,jharsuguda,yes,jharsuguda,yes,malda,yes,7,7 jharsuguda,bargarh
301,3280,jharsuguda,yes,jharsuguda,yes,marakuta,yes,7,7 jharsuguda,bargarh
302,3281,jharsuguda,yes,jharsuguda,yes,patrapali,yes,7,7 jharsuguda,bargarh
303,3283,jharsuguda,yes,jharsuguda,yes,sripura,yes,7,7 jharsuguda,bargarh
304,3284,jharsuguda,yes,jharsuguda,yes,talpatia,yes,7,7 jharsuguda,bargarh
305,3286,jharsuguda,yes,kirmira,yes,arda,yes,7,7 jharsuguda,bargarh
306,3287,jharsuguda,yes,kirmira,yes,bandhpali,yes,7,7 jharsuguda,bargarh
307,3288,jharsuguda,yes,kirmira,yes,bhimjore,yes,7,7 jharsuguda,bargarh
308,3289,jharsuguda,yes,kirmira,yes,g.panpali,yes,7,7 jharsuguda,bargarh
309,3290,jharsuguda,yes,kirmira,yes,jharmunda,yes,7,7 jharsuguda,bargarh
310,3291,jharsuguda,yes,kirmira,yes,kirmira,yes,7,7 jharsuguda,bargarh
311,3292,jharsuguda,yes,kirmira,yes,naxapali,yes,7,7 jharsuguda,bargarh
312,3293,jharsuguda,yes,kirmira,yes,sulahi,yes,7,7 jharsuguda,bargarh
313,3303,jharsuguda,yes,laikera,yes,babuchhipidhi,yes,7,7 jharsuguda,bargarh
314,3304,jharsuguda,yes,laikera,yes,bhatlaida,yes,7,7 jharsuguda,bargarh
