g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc
171,4590,baragarh,yes,attabira,yes,paharsrigida,yes,4,4 attabira (sc),bargarh
172,4591,baragarh,yes,attabira,yes,silat,yes,4,4 attabira (sc),bargarh
173,4592,baragarh,yes,attabira,yes,tamparsara,yes,4,4 attabira (sc),bargarh
174,4593,baragarh,yes,attabira,yes,tangarpali,yes,4,4 attabira (sc),bargarh
175,4594,baragarh,yes,attabira,yes,tope,yes,4,4 attabira (sc),bargarh
176,4661,baragarh,yes,bheden,yes,ainlapali,yes,4,4 attabira (sc),bargarh
177,4662,baragarh,yes,bheden,yes,areigudi,yes,4,4 attabira (sc),bargarh
178,4663,baragarh,yes,bheden,yes,arjunda,yes,4,4 attabira (sc),bargarh
179,4664,baragarh,yes,bheden,yes,bakti,yes,4,4 attabira (sc),bargarh
180,4665,baragarh,yes,bheden,yes,bheden,yes,4,4 attabira (sc),bargarh
181,4666,baragarh,yes,bheden,yes,chichinda,yes,4,4 attabira (sc),bargarh
182,4667,baragarh,yes,bheden,yes,dalab,yes,4,4 attabira (sc),bargarh
183,4668,baragarh,yes,bheden,yes,deshbhatli,yes,4,4 attabira (sc),bargarh
184,4669,baragarh,yes,bheden,yes,kubedega,yes,4,4 attabira (sc),bargarh
185,4670,baragarh,yes,bheden,yes,luhakhandi,yes,4,4 attabira (sc),bargarh
186,4671,baragarh,yes,bheden,yes,lupursingha,yes,4,4 attabira (sc),bargarh
187,4672,baragarh,yes,bheden,yes,mahulpali,yes,4,4 attabira (sc),bargarh
188,4673,baragarh,yes,bheden,yes,manpur,yes,4,4 attabira (sc),bargarh
189,4674,baragarh,yes,bheden,yes,papanga,yes,4,4 attabira (sc),bargarh
190,4675,baragarh,yes,bheden,yes,remunda,yes,4,4 attabira (sc),bargarh
191,4676,baragarh,yes,bheden,yes,reshma,yes,4,4 attabira (sc),bargarh
192,4677,baragarh,yes,bheden,yes,rusuda,yes,4,4 attabira (sc),bargarh
193,4678,baragarh,yes,bheden,yes,sankirda,yes,4,4 attabira (sc),bargarh
194,4679,baragarh,yes,bheden,yes,sialkhandtha,yes,4,4 attabira (sc),bargarh
