g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc,s_state,s_district,s_block,Sl. No,s_gp,SC,ST,Minority,Others,Total,updated_district_name,updated_block_name,updated_gp_name
28,805,baragarh,yes,paikmal,yes,kermelabahal,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,14,kermelabahal,12.2,44.9,0,21.7,78.8,baragarh,paikmal,kermelabahal
29,806,baragarh,yes,paikmal,yes,lakhamara,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,15,lakhamara,48,20.2,0,65.2,133.4,baragarh,paikmal,lakhamara
30,807,baragarh,yes,paikmal,yes,mandiadhipa,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,16,mandiadhipa,13.9,38.6,0,35.2,87.7,baragarh,paikmal,mandiadhipa
31,808,baragarh,yes,paikmal,yes,mandosil,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,17,mandosil,13.5,41.9,4.8,45.3,105.5,baragarh,paikmal,mandosil
32,809,baragarh,yes,paikmal,yes,mithapali,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,18,mithapali,58.2,47.6,0,44.1,149.9,baragarh,paikmal,mithapali
33,810,baragarh,yes,paikmal,yes,paikmal,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,19,paikmal,30.7,27.8,3.3,50.5,112.3,baragarh,paikmal,paikmal
34,811,baragarh,yes,paikmal,yes,palsada,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,20,palsada,17.4,53.1,0,15.8,86.3,baragarh,paikmal,palsada
35,812,baragarh,yes,paikmal,yes,saraikela,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,21,saraikela,20.7,13.4,0,29.3,63.4,baragarh,paikmal,saraikela
36,813,baragarh,yes,paikmal,yes,temeri,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,22,temeri,18.1,13.5,0,36.8,68.4,baragarh,paikmal,temeri
37,782,baragarh,yes,padampur,yes,kansar,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,13,kansar,17.7,39.1,0,47.6,104.4,baragarh,padampur,kansar
