constituency,constituency_code,level,scheme,year,Openning Balance,Total Fund Available,Total Expenditure on Wages,Total Expenditure on Materials,Total Expenditure on Tax,Total Expenditure on Admin Expenses,Grand Total Expenditure,Total Unspent Balance,Total Payment Due
talsara (st),8,AC,MNREGA,2019-20,-0.42,3207.62,2479.59,817.45,2.54,0,3299.54,-91.95,45.93
bhawanipatna (sc),80,AC,MNREGA,2019-20,0,689.38,532.4,151.9,2.5300000000000002,0,686.78,2.55,18.95
narla,81,AC,MNREGA,2019-20,0,1671.96,940.8100000000001,775.21,1.49,0,1717.51,-45.54,16.55
baliguda (st),82,AC,MNREGA,2019-20,-0.41000000000000003,1748.81,1350.13,496.59,2.52,0,1849.22,-100.43,38.59
g. udayagiri (st),83,AC,MNREGA,2019-20,-0.36,1762.08,1264.06,604.07,0.47000000000000003,0,1868.6100000000001,-106.57,19.6
phulbani (st),84,AC,MNREGA,2019-20,-0.07,2256.95,1968.97,316.05,0.31,0,2285.37,-28.49,12.6
kantamal,85,AC,MNREGA,2019-20,-10.299999999999999,1197.83,1121.53,173.27,0.59,0,1295.38,-97.52,58.8
boudh,86,AC,MNREGA,2019-20,-10.62,683.52,632.22,98.31,2.1,0,732.59,-49.08,63.35
baramba,87,AC,MNREGA,2019-20,0,319.42,1069.67,373.98,3.14,0,1446.77,-1127.34,30.77
banki,88,AC,MNREGA,2019-20,0,82.32,604.4399999999999,50.03,0.35000000000000003,0,654.81,-572.51,20.86
athagarh,89,AC,MNREGA,2019-20,0,33.43,478.49,62.3,0.08,0,540.85,-507.42,4.7
sundargarh (st),9,AC,MNREGA,2019-20,-0.24,3140.73,2534.71,684.48,4.71,0,3223.92,-83.22,46.97
choudwar- cuttack,91,AC,MNREGA,2019-20,0,0.3,48.67,6.91,0,0,55.57,-55.28,0.01
niali (sc),92,AC,MNREGA,2019-20,0,200.62,226.35,48.12,0.07,0,274.57,-73.91,5.9
cuttack sadar (sc),93,AC,MNREGA,2019-20,0,37,117.33,11.58,0.02,0,128.94,-91.95,2.27
salipur,94,AC,MNREGA,2019-20,0,144.64,315.51,35.14,1.01,0,351.67,-207.02,4.95
mahanga,95,AC,MNREGA,2019-20,0,190.46,608.79,124.21,0,0,732.96,-542.48,15.88
patkura,96,AC,MNREGA,2019-20,0,310.86,382.94,372.21,1.1400000000000001,0,756.3,-445.44,4.46
kendrapara (sc),97,AC,MNREGA,2019-20,0,330.29,404.77,270.18,0.5800000000000001,0,675.53,-345.23,5.87
aul,98,AC,MNREGA,2019-20,0,85.18,1073.77,146.07,0,0,1219.85,-1134.67,16.65
rajanagar,99,AC,MNREGA,2019-20,0,401.92,892.37,322.93,2.15,0,1217.48,-815.6,12.98
