geo_entity_title,Openning Balance,Total Fund Available,Total Expenditure on Wages,Total Expenditure on Materials,Total Expenditure on Tax,Total Expenditure on Admin Expenses,Grand Total Expenditure,Total Unspent Balance,Total Payment Due,level,scheme,year,SC,ST,Minority,Others,Total
bolangir,-66.24000000000001,8163.3,6775.38,1483.46,6.99,0,8265.79,-102.58,75.12,PC,MNREGA,2018-19,NA,NA,NA,NA,NA
cuttack,24.57,2449.3,2489.83,965.24,1.35,0,3456.4500000000003,-1007.08,39.16,PC,MNREGA,2018-19,NA,NA,NA,NA,NA
dhenkanal,49.93,4458.89,3556.95,1525.51,15.1,0.01,5097.66,-638.72,50.3,PC,MNREGA,2018-19,NA,NA,NA,NA,NA
jagatsinghpur (sc),48.73,1644.81,1706.96,635.39,8.81,0,2351.12,-706.28,39.15,PC,MNREGA,2018-19,NA,NA,NA,NA,NA
jajpur (sc),-0.03,3844.91,3127.9,1623.1299999999999,3.2399999999999998,0,4754.18,-909.41,29.26,PC,MNREGA,2018-19,NA,NA,NA,NA,NA
kalahandi,-63.58,5852.94,4125.98,1797.82,31.53,0,5955.14,-102.32000000000001,71.56,PC,MNREGA,2018-19,NA,NA,NA,NA,NA
kandhamal,4.470000000000001,8447.3,7078.64,1622.88,8.42,0.49,8710.39,-262.94,84.11,PC,MNREGA,2018-19,NA,NA,NA,NA,NA
kendrapara,0,1260.87,2816.96,992.42,5.82,0,3815.28,-2554.54,28.15,PC,MNREGA,2018-19,NA,NA,NA,NA,NA
keonjhar (st),-262.57,12271.65,8965.52,3900.2400000000002,89.98,0,12955.85,-684.15,51.1,PC,MNREGA,2018-19,NA,NA,NA,NA,NA
koraput (st),-760.1899999999999,14978.17,9825.2,6117.88,199.1,0,16194.05,-1215.86,211.26,PC,MNREGA,2018-19,NA,NA,NA,NA,NA
mayurbhanj (st),0,15779.24,8688.78,7243.1,62.58,0,15994.62,-215.39000000000001,121.51,PC,MNREGA,2018-19,NA,NA,NA,NA,NA
nabarangpur (st),14.979999999999999,8121.87,5726.94,2459.68,52.68,0,8239.28,-117.31,67.88,PC,MNREGA,2018-19,NA,NA,NA,NA,NA
puri,19.520000000000003,2916.42,2632.81,533.86,14.700000000000001,0,3181.32,-265.01,29,PC,MNREGA,2018-19,NA,NA,NA,NA,NA
sambalpur,45.47,6763.25,5105.68,1789.41,19.12,0,6914.2,-150.8,46.34,PC,MNREGA,2018-19,NA,NA,NA,NA,NA
sundargarh (st),0,10555.69,8466.62,2852.03,19.01,0,11337.66,-782.03,94.12,PC,MNREGA,2018-19,NA,NA,NA,NA,NA
1 padampur,27.03,2413.22,2204.43,484.41,44.79,0,2733.65,-320.43,19.49,AC,MNREGA,2019-20,NA,NA,NA,NA,NA
