s_state,s_district,Urban Local Bodies (Municipality/Munipal Corparation/Nac,s_block,s_gp,Total_IGNDPS,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,baleshwar,NA,bhograi,kumbhirgadi,0.76,255,balasore,bhograi,kumbhirgadi
odisha,baleshwar,NA,bhograi,maheshpur,1.01,256,balasore,bhograi,maheshpur
odisha,baleshwar,NA,bhograi,panisanda,1.89,257,balasore,bhograi,panisanda
odisha,baleshwar,NA,bhograi,pasarbindha,1.36,258,balasore,bhograi,pasarbindha
odisha,baleshwar,NA,bhograi,sahabajipur,0.76,259,balasore,bhograi,sahabajipur
odisha,baleshwar,NA,bhograi,sianroi,1.43,260,balasore,bhograi,sianroi
odisha,baleshwar,NA,bhograi,sunadharbasan,0.63,261,balasore,bhograi,sunadharbasan
odisha,baleshwar,NA,jaleswar,kalika,0.31,262,balasore,jaleswar,kalika
odisha,baleshwar,NA,jaleswar,aruha,1.39,263,balasore,jaleswar,aruha
odisha,baleshwar,NA,jaleswar,r. r. pur,2.62,264,balasore,jaleswar,r. r. pur
odisha,baleshwar,NA,jaleswar,nachhimpur,0.92,265,balasore,jaleswar,nachhimpur
odisha,baleshwar,NA,jaleswar,shyamnagar,0.31,266,balasore,jaleswar,shyamnagar
odisha,baleshwar,NA,jaleswar,paikasida,4,267,balasore,jaleswar,paikasida
odisha,baleshwar,NA,jaleswar,raibania,1.53,268,balasore,jaleswar,raibania
odisha,baleshwar,NA,jaleswar,gopimohanpur,4.47,269,balasore,jaleswar,gopimohanpur
odisha,baleshwar,NA,jaleswar,olmara,0.31,270,balasore,jaleswar,olmara
odisha,baleshwar,NA,jaleswar,mankidia,0.31,271,balasore,jaleswar,mankidia
odisha,baleshwar,NA,jaleswar,d.p.pur,1.84,272,balasore,jaleswar,d.p.pur
odisha,baleshwar,NA,jaleswar,chamargan,0.46,273,balasore,jaleswar,chamargan
odisha,baleshwar,NA,jaleswar,bartana,0.46,274,balasore,jaleswar,bartana
odisha,baleshwar,NA,jaleswar,baradiha,2.31,275,balasore,jaleswar,baradiha
odisha,baleshwar,NA,jaleswar,baiganbadia,2.46,276,balasore,jaleswar,baiganbadia
odisha,baleshwar,NA,jaleswar,rajpur,2.62,277,balasore,jaleswar,rajpur
odisha,baleshwar,NA,jaleswar,sugo,3.54,278,balasore,jaleswar,sugo
odisha,baleshwar,NA,jaleswar,laxmananatha,2.35,279,balasore,jaleswar,laxmananatha
odisha,baleshwar,NA,jaleswar,paschimbad,2.77,280,balasore,jaleswar,paschimbad
odisha,baleshwar,NA,jaleswar,khalina,1.08,281,balasore,jaleswar,khalina
odisha,baleshwar,NA,jaleswar,khuad,0.15,282,balasore,jaleswar,khuad
odisha,baleshwar,NA,jaleswar,k.majhisahi,0.62,283,balasore,jaleswar,k.majhisahi
odisha,baleshwar,NA,jaleswar,nampo,3.23,284,balasore,jaleswar,nampo
odisha,baleshwar,NA,jaleswar,netua,0.46,285,balasore,jaleswar,netua
odisha,baleshwar,NA,jaleswar,sikharpur,1.69,286,balasore,jaleswar,sikharpur
odisha,baleshwar,NA,jaleswar,srirampur,1.08,287,balasore,jaleswar,srirampur
odisha,baleshwar,NA,khaira,achutipur,1.05,288,balasore,khaira,achutipur
odisha,baleshwar,NA,khaira,antara,3.16,289,balasore,khaira,antara
odisha,baleshwar,NA,khaira,barada,0.45,290,balasore,khaira,barada
odisha,baleshwar,NA,khaira,haripur,0.22,291,balasore,khaira,haripur
odisha,baleshwar,NA,khaira,bartana,0.43,292,balasore,khaira,bartana
odisha,baleshwar,NA,khaira,gadapokhari,2.21,293,balasore,khaira,gadapokhari
odisha,baleshwar,NA,khaira,dungura,2.02,294,balasore,khaira,dungura
odisha,baleshwar,NA,khaira,gagandhuli,1.02,295,balasore,khaira,gagandhuli
odisha,baleshwar,NA,khaira,garsang,1.05,296,balasore,khaira,garsang
odisha,baleshwar,NA,khaira,govindpur,0.69,297,balasore,khaira,govindpur
odisha,baleshwar,NA,khaira,jhinkiria,1.75,298,balasore,khaira,jhinkiria
odisha,baleshwar,NA,khaira,khaira,1.12,299,balasore,khaira,khaira
odisha,baleshwar,NA,khaira,kupari,1.97,300,balasore,khaira,kupari
odisha,baleshwar,NA,khaira,kurunta,0.34,301,balasore,khaira,kurunta
odisha,baleshwar,NA,khaira,makhanpur,0.34,302,balasore,khaira,makhanpur
odisha,baleshwar,NA,khaira,mahatipur,3.3,303,balasore,khaira,mahatipur
