s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Opening Balance For FY 2019-20,Total Fund Available For  FY 2019-20,Total Expenditure on Wages For FY 2019-20,Total Expenditure On Materials For FY 2019-20,Total Tax Paid For FY 2019-20,Total Admin Expenses  For FY 2019-20,Grand Total Expenditure For FY 2019-20,Total Unspent Balance For FY 2019-20,Total Payment Due For FY 2019-20,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,bolangir,gudvella,10,nuapada,-0.17,70.69,61.98,8.7,0,0,70.67,0.02,0.37,131,bolangir,gudvella,nuapada
odisha,bolangir,gudvella,11,rusuda,0.63,85.55,66.31,18.48,0.2,0,84.99,0.56,0.39,132,bolangir,gudvella,rusuda
odisha,bolangir,gudvella,12,samara,-0.03,15.42,13.62,1.84,0,0,15.45,-0.03,0,133,bolangir,gudvella,samara
odisha,bolangir,gudvella,13,tentelkhunti,1.06,44.26,39.9,3.2,0.04,0,43.15,1.12,0.39,134,bolangir,gudvella,tentelkhunti
odisha,bolangir,khaprakhol,1,baghmund,3.01,61.74,55.78,3.05,0,0,58.82,2.92,0.68,135,bolangir,khaprakhol,baghmund
odisha,bolangir,khaprakhol,2,bender,3.82,88.32,55.3,28.64,0,0,83.93,4.39,0.55,136,bolangir,khaprakhol,bender
odisha,bolangir,khaprakhol,3,bhanpur,0.19,37.01,31.7,2.62,0,0,34.32,2.69,1.62,137,bolangir,khaprakhol,bhanpur
odisha,bolangir,khaprakhol,4,changria,0,64.53,57.3,7.17,0,0,64.47,0.06,0.25,138,bolangir,khaprakhol,changria
odisha,bolangir,khaprakhol,5,dameipali,4.07,28.52,24.43,0,0,0,24.44,4.09,0.22,139,bolangir,khaprakhol,dameipali
odisha,bolangir,khaprakhol,6,dhandamunda,0.52,101.04,85.08,15.24,0.11,0,100.43,0.61,3.66,140,bolangir,khaprakhol,dhandamunda
odisha,bolangir,khaprakhol,7,ghunsar,-0.33,40.28,34.63,5.97,0,0,40.61,-0.33,1.38,141,bolangir,khaprakhol,ghunsar
odisha,bolangir,khaprakhol,8,karuanjhar,-0.65,22.01,22.66,0,0,0,22.66,-0.65,0.98,142,bolangir,khaprakhol,karuanjhar
odisha,bolangir,khaprakhol,9,khaprakhol,2.01,141.85,76.13,63.72,0,0,139.84,2.01,1.97,143,bolangir,khaprakhol,khaprakhol
odisha,bolangir,khaprakhol,10,lathor,5.37,46.47,33.44,7.66,0,0,41.1,5.37,1.06,144,bolangir,khaprakhol,lathor
odisha,bolangir,khaprakhol,11,luhasingha,0.33,112,88.33,23.41,0,0,111.74,0.25,2.42,145,bolangir,khaprakhol,luhasingha
odisha,bolangir,khaprakhol,12,maharapadar,0.42,92.51,89.21,2.83,0,0,92.04,0.47,0.75,146,bolangir,khaprakhol,maharapadar
odisha,bolangir,khaprakhol,13,malpara,0,45.58,41.34,4.24,0,0,45.58,0,0.37,147,bolangir,khaprakhol,malpara
odisha,bolangir,khaprakhol,14,matiabhata,0.29,87.37,74.54,12.29,0.04,0,86.87,0.5,1.21,148,bolangir,khaprakhol,matiabhata
odisha,bolangir,khaprakhol,15,nandupala,2.74,44.87,39.13,3.03,0,0,42.15,2.73,0.2,149,bolangir,khaprakhol,nandupala
