Name of the State,Name of the District,Name of the Block,Number of Gram Panchayats,Name of the Gram Panchayat,Openning Balance for FY 2018-19,Total Fund Available for the FY 2018-19,Total Expenditure on Wages for FY 2018-19,Total Expenditure on Materials for FY 2018-19,Total Expenditure on Tax for FY 2018-19,Total Expenditure on Admin Expenses  for FY 2018-19,Grand Total Expenditure for FY 2018-19,Total Unspent Balance for FY 2018-19,Total Payment Due for FY 2018-19
Odisha,Bolangir,Deogaon,14,Jarasingha,1.860,11.380,9.520,0.000,0.000,0.000,9.520,1.860,0.000
Odisha,Bolangir,Deogaon,15,Kultapada,1.400,19.450,18.020,0.000,0.000,0.000,18.030,1.420,0.000
Odisha,Bolangir,Deogaon,16,Kuturla,9.820,39.070,20.530,8.670,0.000,0.000,29.200,9.870,0.230
Odisha,Bolangir,Deogaon,17,Landapathar,5.600,28.240,14.880,7.740,0.000,0.000,22.620,5.620,0.330
Odisha,Bolangir,Deogaon,18,Mahalei,7.190,32.010,20.800,4.020,0.000,0.000,24.820,7.190,0.060
Odisha,Bolangir,Deogaon,19,Makundpur,0.490,25.020,21.190,3.310,0.000,0.000,24.500,0.510,0.100
Odisha,Bolangir,Deogaon,20,Ramchandrapur,-0.270,23.360,17.390,6.210,0.000,0.000,23.590,-0.230,0.100
Odisha,Bolangir,Deogaon,21,Salepali,1.810,19.820,17.950,0.000,0.000,0.000,17.950,1.870,0.200
Odisha,Bolangir,Deogaon,22,Sarasmal,1.140,28.800,12.330,15.320,0.000,0.000,27.660,1.140,0.070
Odisha,Bolangir,Deogaon,23,Sikuan,-0.960,11.510,12.130,0.340,0.000,0.000,12.480,-0.960,0.000
Odisha,Bolangir,Deogaon,24,Singhanmunda,3.590,13.130,9.540,0.000,0.000,0.000,9.540,3.590,0.030
Odisha,Bolangir,Deogaon,25,Sirabahal(Udar),-12.070,9.020,19.300,1.760,0.000,0.000,21.060,-12.040,0.150
Odisha,Bolangir,Deogaon,26,Uperjhar,0.260,15.530,11.800,3.430,0.000,0.000,15.230,0.300,0.070
Odisha,Bolangir,Deogaon,,Total,29.570,504.460,395.650,77.450,0.000,0.000,473.090,31.370,4.170
Odisha,Bolangir,Deogaon,,Block Level Line Deptt.,-259.870,-259.870,68.840,62.170,0.740,0.800,132.550,-392.420,0.700
Odisha,Bolangir,Deogaon,,Po,96.040,173.170,0.000,NA,NA,28.580,28.580,144.590,NA
Odisha,Bolangir,Deogaon,,Grand Total,-134.260,417.760,464.490,139.620,0.740,29.380,634.220,-216.460,4.870
Odisha,Bolangir,Gudvella,1,Badangomunda,0.310,27.150,26.640,0.000,0.000,0.000,26.640,0.510,0.320
Odisha,Bolangir,Gudvella,2,Birmunda,0.390,34.260,31.410,2.240,0.210,0.000,33.850,0.410,0.110
Odisha,Bolangir,Gudvella,3,Chinched,-0.760,10.780,11.430,0.100,0.000,0.000,11.530,-0.760,0.070
Odisha,Bolangir,Gudvella,4,Deulgudi,0.000,32.300,29.360,2.530,0.420,0.000,32.300,0.000,0.100
Odisha,Bolangir,Gudvella,5,Gambhariguda,0.000,22.950,21.760,1.100,0.070,0.000,22.930,0.020,0.160
Odisha,Bolangir,Gudvella,6,Ghuna,1.400,28.150,25.570,1.130,0.040,0.000,26.740,1.400,0.030
Odisha,Bolangir,Gudvella,7,Gudvela,0.040,16.070,14.920,1.100,0.020,0.000,16.030,0.040,0.000
Odisha,Bolangir,Gudvella,8,Jamut,1.170,17.080,13.610,2.270,0.030,0.000,15.910,1.170,0.150
Odisha,Bolangir,Gudvella,9,Madhekela,-0.500,28.300,28.390,0.370,0.020,0.000,28.770,-0.470,0.150
Odisha,Bolangir,Gudvella,10,Nuapada,-0.170,38.670,36.460,2.350,0.000,0.000,38.810,-0.140,0.140
Odisha,Bolangir,Gudvella,11,Rusuda,0.630,29.250,24.520,3.430,0.680,0.000,28.620,0.630,0.110
Odisha,Bolangir,Gudvella,12,Samara,-0.030,10.940,10.840,0.080,0.000,0.000,10.920,0.020,0.030
Odisha,Bolangir,Gudvella,13,Tentelkhunti,1.060,19.940,17.670,1.120,0.090,0.000,18.880,1.060,0.360
Odisha,Bolangir,Gudvella,,Total,3.550,315.840,292.550,17.820,1.570,0.000,311.940,3.900,1.730
