g_ac_id,g_ac,g_block,g_gp,g_district,g_pc,g_match_id
7,7 jharsuguda,kolabira,keldamal,jharsuguda,bargarh,325
7,7 jharsuguda,kolabira,kolabira,jharsuguda,bargarh,326
7,7 jharsuguda,kolabira,kulihamal,jharsuguda,bargarh,327
7,7 jharsuguda,kolabira,parmanpur,jharsuguda,bargarh,328
7,7 jharsuguda,kolabira,pokhrasale,jharsuguda,bargarh,329
7,7 jharsuguda,kolabira,raghunathpali,jharsuguda,bargarh,330
7,7 jharsuguda,kolabira,samasingha,jharsuguda,bargarh,331
7,7 jharsuguda,kolabira,sodamal,jharsuguda,bargarh,332
8,8 talsara (st),subdega,damkuda,sundargarh,sundargarh (st),333
8,8 talsara (st),subdega,deogaon,sundargarh,sundargarh (st),334
8,8 talsara (st),subdega,hamirpur,sundargarh,sundargarh (st),335
8,8 talsara (st),subdega,jaisar,sundargarh,sundargarh (st),336
8,8 talsara (st),subdega,jamuna,sundargarh,sundargarh (st),337
8,8 talsara (st),subdega,karam dihi,sundargarh,sundargarh (st),338
8,8 talsara (st),subdega,kiralaga,sundargarh,sundargarh (st),339
8,8 talsara (st),subdega,kukridihi,sundargarh,sundargarh (st),340
8,8 talsara (st),subdega,kulba,sundargarh,sundargarh (st),341
8,8 talsara (st),subdega,kurum kel,sundargarh,sundargarh (st),342
8,8 talsara (st),subdega,rajpur,sundargarh,sundargarh (st),343
8,8 talsara (st),subdega,subalaya,sundargarh,sundargarh (st),344
8,8 talsara (st),subdega,subdega,sundargarh,sundargarh (st),345
8,8 talsara (st),subdega,tangaragaon,sundargarh,sundargarh (st),346
8,8 talsara (st),balisankara,balisankara,sundargarh,sundargarh (st),347
8,8 talsara (st),balisankara,bandega,sundargarh,sundargarh (st),348
8,8 talsara (st),balisankara,bandhabahal,sundargarh,sundargarh (st),349
8,8 talsara (st),balisankara,beheradihi,sundargarh,sundargarh (st),350
8,8 talsara (st),balisankara,bhandar karua bahal,sundargarh,sundargarh (st),351
8,8 talsara (st),balisankara,birkaldihi,sundargarh,sundargarh (st),352
8,8 talsara (st),balisankara,deobhubanpur,sundargarh,sundargarh (st),353
8,8 talsara (st),balisankara,dhubendand,sundargarh,sundargarh (st),354
8,8 talsara (st),balisankara,kinjirkela,sundargarh,sundargarh (st),355
8,8 talsara (st),balisankara,kurei,sundargarh,sundargarh (st),356
8,8 talsara (st),balisankara,kusummura,sundargarh,sundargarh (st),357
8,8 talsara (st),balisankara,lulukidihi,sundargarh,sundargarh (st),358
8,8 talsara (st),balisankara,rampur,sundargarh,sundargarh (st),359
8,8 talsara (st),balisankara,sagbahal,sundargarh,sundargarh (st),360
8,8 talsara (st),balisankara,saunamara,sundargarh,sundargarh (st),361
8,8 talsara (st),balisankara,talsara,sundargarh,sundargarh (st),362
8,8 talsara (st),balisankara,tilaikani,sundargarh,sundargarh (st),363
8,8 talsara (st),balisankara,tildega,sundargarh,sundargarh (st),364
8,8 talsara (st),balisankara,tumlia,sundargarh,sundargarh (st),365
8,8 talsara (st),lephripara,alapaka,sundargarh,sundargarh (st),366
8,8 talsara (st),lephripara,dumabahal,sundargarh,sundargarh (st),367
8,8 talsara (st),lephripara,giring kela,sundargarh,sundargarh (st),368
8,8 talsara (st),lephripara,gundia dihi,sundargarh,sundargarh (st),369
8,8 talsara (st),lephripara,hurmei,sundargarh,sundargarh (st),370
8,8 talsara (st),lephripara,kulabira,sundargarh,sundargarh (st),371
8,8 talsara (st),lephripara,lephripara,sundargarh,sundargarh (st),372
8,8 talsara (st),lephripara,masabira,sundargarh,sundargarh (st),373
8,8 talsara (st),lephripara,raj bahal,sundargarh,sundargarh (st),374
8,8 talsara (st),lephripara,sarafgarh,sundargarh,sundargarh (st),375
8,8 talsara (st),bargaon,bamdera,sundargarh,sundargarh (st),376
8,8 talsara (st),bargaon,baranga kachhar,sundargarh,sundargarh (st),377
8,8 talsara (st),bargaon,bargaon,sundargarh,sundargarh (st),378
8,8 talsara (st),bargaon,bhoipali,sundargarh,sundargarh (st),379
8,8 talsara (st),bargaon,dandajamira,sundargarh,sundargarh (st),380
8,8 talsara (st),bargaon,ekma,sundargarh,sundargarh (st),381
8,8 talsara (st),bargaon,fulabari,sundargarh,sundargarh (st),382
8,8 talsara (st),bargaon,itama,sundargarh,sundargarh (st),383
8,8 talsara (st),bargaon,jarangaloi,sundargarh,sundargarh (st),384
8,8 talsara (st),bargaon,pamra,sundargarh,sundargarh (st),385
8,8 talsara (st),bargaon,rungaon,sundargarh,sundargarh (st),386
8,8 talsara (st),bargaon,sahaj bahal,sundargarh,sundargarh (st),387
8,8 talsara (st),bargaon,tikili para,sundargarh,sundargarh (st),388
8,8 talsara (st),bargaon,timna,sundargarh,sundargarh (st),389
8,8 talsara (st),bargaon,tudalaga,sundargarh,sundargarh (st),390
9,9 sundargarh (st),tangarpali,gamharidihi,sundargarh,sundargarh (st),391
9,9 sundargarh (st),tangarpali,jogimal,sundargarh,sundargarh (st),392
9,9 sundargarh (st),tangarpali,kiripsira,sundargarh,sundargarh (st),393
9,9 sundargarh (st),tangarpali,mahulpali,sundargarh,sundargarh (st),394
9,9 sundargarh (st),tangarpali,mangaspur,sundargarh,sundargarh (st),395
9,9 sundargarh (st),tangarpali,megdega,sundargarh,sundargarh (st),396
9,9 sundargarh (st),tangarpali,nialipali,sundargarh,sundargarh (st),397
9,9 sundargarh (st),tangarpali,ratanpur,sundargarh,sundargarh (st),398
9,9 sundargarh (st),tangarpali,remanda,sundargarh,sundargarh (st),399
9,9 sundargarh (st),tangarpali,sanpatrapali,sundargarh,sundargarh (st),400
9,9 sundargarh (st),tangarpali,tangarpali,sundargarh,sundargarh (st),401
9,9 sundargarh (st),tangarpali,tasladihi,sundargarh,sundargarh (st),402
9,9 sundargarh (st),tangarpali,ujalpur,sundargarh,sundargarh (st),403
9,9 sundargarh (st),hemgiri,ankel bira,sundargarh,sundargarh (st),404
9,9 sundargarh (st),hemgiri,balinga,sundargarh,sundargarh (st),405
9,9 sundargarh (st),hemgiri,duduka,sundargarh,sundargarh (st),406
9,9 sundargarh (st),hemgiri,durubaga,sundargarh,sundargarh (st),407
9,9 sundargarh (st),hemgiri,gad tumulia,sundargarh,sundargarh (st),408
9,9 sundargarh (st),hemgiri,garjan jore,sundargarh,sundargarh (st),409
9,9 sundargarh (st),hemgiri,gopal pur,sundargarh,sundargarh (st),410
9,9 sundargarh (st),hemgiri,hemgir,sundargarh,sundargarh (st),411
9,9 sundargarh (st),hemgiri,jharpalam,sundargarh,sundargarh (st),412
9,9 sundargarh (st),hemgiri,julum bahal,sundargarh,sundargarh (st),413
