SL NO. for AC,AC,Blocks,Gram Panchayats,Notified Area Council (NAC),Municipality (M),Municipal Corporation (MC),Outgrowth (OG),Wards of ULBs,District,Sl. No. of PCs,PCs,REMARKS
3,3 Bargarh,Bargarh,N.JAMPALI,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Bargarh,NILESWAR,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Bargarh,Patharla,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Bargarh,S.DUMERPALI,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Bargarh,SARSARA,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Bargarh,TALSIRGIDA,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Bargarh,TORA,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,Bargarh,TUMGAON,,,,,,Baragarh,1,Bargarh,
3,3 Bargarh,,,,Bargarh (M),,,Bargarh (M) - Ward No.1,Baragarh,1,Bargarh,
3,3 Bargarh,,,,Bargarh (M),,,Bargarh (M) - Ward No.10,Baragarh,1,Bargarh,
3,3 Bargarh,,,,Bargarh (M),,,Bargarh (M) - Ward No.11,Baragarh,1,Bargarh,
3,3 Bargarh,,,,Bargarh (M),,,Bargarh (M) - Ward No.12,Baragarh,1,Bargarh,
3,3 Bargarh,,,,Bargarh (M),,,Bargarh (M) - Ward No.13,Baragarh,1,Bargarh,
3,3 Bargarh,,,,Bargarh (M),,,Bargarh (M) - Ward No.14,Baragarh,1,Bargarh,
3,3 Bargarh,,,,Bargarh (M),,,Bargarh (M) - Ward No.15,Baragarh,1,Bargarh,
3,3 Bargarh,,,,Bargarh (M),,,Bargarh (M) - Ward No.16,Baragarh,1,Bargarh,
3,3 Bargarh,,,,Bargarh (M),,,Bargarh (M) - Ward No.17,Baragarh,1,Bargarh,
3,3 Bargarh,,,,Bargarh (M),,,Bargarh (M) - Ward No. 18,Baragarh,1,Bargarh,
3,3 Bargarh,,,,Bargarh (M),,,Bargarh (M) - Ward No. 19,Baragarh,1,Bargarh,
3,3 Bargarh,,,,Bargarh (M),,,Bargarh (M) - Ward No.2,Baragarh,1,Bargarh,
3,3 Bargarh,,,,Bargarh (M),,,Bargarh (M) - Ward No.3,Baragarh,1,Bargarh,
3,3 Bargarh,,,,Bargarh (M),,,Bargarh (M) - Ward No.4,Baragarh,1,Bargarh,
3,3 Bargarh,,,,Bargarh (M),,,Bargarh (M) - Ward No.5,Baragarh,1,Bargarh,
3,3 Bargarh,,,,Bargarh (M),,,Bargarh (M) - Ward No.6,Baragarh,1,Bargarh,
3,3 Bargarh,,,,Bargarh (M),,,Bargarh (M) - Ward No.7,Baragarh,1,Bargarh,
3,3 Bargarh,,,,Bargarh (M),,,Bargarh (M) - Ward No.8,Baragarh,1,Bargarh,
3,3 Bargarh,,,,Bargarh (M),,,Bargarh (M) - Ward No.9,Baragarh,1,Bargarh,
4,4 Attabira (SC),Attabira,Amlipali,,,,,,Baragarh,1,Bargarh,AC consists of two entire blocks of Attabira and Bheden.
4,4 Attabira (SC),Attabira,Bugbuga,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Attabira,Chakuli,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Attabira,Dulampur,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Attabira,Godbhaga,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Attabira,Hirlipali,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Attabira,Janged,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Attabira,Janhapada,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Attabira,Jhiliminda,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Attabira,Kadobahal,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Attabira,Kharamunda,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Attabira,Kulitatukura,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Attabira,Kulunda,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Attabira,KUMELSINGHA,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Attabira,Lachida,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Attabira,Lahanda,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Attabira,Larambha,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Attabira,Larasara,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Attabira,Manapara,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Attabira,Paharsrigida,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Attabira,silat,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Attabira,Tamparsara,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Attabira,Tangarpali,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Attabira,Tope,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Bheden,Ainlapali,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Bheden,Areigudi,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Bheden,Arjunda,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Bheden,Bakti,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Bheden,Bheden,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Bheden,Chichinda,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Bheden,Dalab,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Bheden,Deshbhatli,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Bheden,Kubedega,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Bheden,Luhakhandi,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Bheden,Lupursingha,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Bheden,Mahulpali,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Bheden,Manpur,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Bheden,Papanga,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Bheden,Remunda,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Bheden,Reshma,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Bheden,Rusuda,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Bheden,Sankirda,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Bheden,Sialkhandtha,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Bheden,Sunalarambha,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),Bheden,Talmenda,,,,,,Baragarh,1,Bargarh,
4,4 Attabira (SC),,,Attabira (NAC),,,,Attabira (NAC) - Ward No. 1,Baragarh,1,Bargarh,
4,4 Attabira (SC),,,Attabira (NAC),,,,Attabira (NAC) - Ward No. 10,Baragarh,1,Bargarh,
4,4 Attabira (SC),,,Attabira (NAC),,,,Attabira (NAC) - Ward No. 11,Baragarh,1,Bargarh,
4,4 Attabira (SC),,,Attabira (NAC),,,,Attabira (NAC) - Ward No. 12,Baragarh,1,Bargarh,
4,4 Attabira (SC),,,Attabira (NAC),,,,Attabira (NAC) - Ward No. 2,Baragarh,1,Bargarh,
4,4 Attabira (SC),,,Attabira (NAC),,,,Attabira (NAC) - Ward No. 3,Baragarh,1,Bargarh,
4,4 Attabira (SC),,,Attabira (NAC),,,,Attabira (NAC) - Ward No. 4,Baragarh,1,Bargarh,
4,4 Attabira (SC),,,Attabira (NAC),,,,Attabira (NAC) - Ward No. 5,Baragarh,1,Bargarh,
4,4 Attabira (SC),,,Attabira (NAC),,,,Attabira (NAC) - Ward No. 6,Baragarh,1,Bargarh,
4,4 Attabira (SC),,,Attabira (NAC),,,,Attabira (NAC) - Ward No. 7,Baragarh,1,Bargarh,
4,4 Attabira (SC),,,Attabira (NAC),,,,Attabira (NAC) - Ward No. 8,Baragarh,1,Bargarh,
4,4 Attabira (SC),,,Attabira (NAC),,,,Attabira (NAC) - Ward No. 9,Baragarh,1,Bargarh,
5,5 Bhatli,Sohella,BAUSENMURA,,,,,,Baragarh,1,Bargarh,"AC consists of three entire blocks of Sohella, Bhatli and Ambabhona."
5,5 Bhatli,Sohella,BEHERAPALI,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Sohella,BIJAPALI,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Sohella,BIRJAM,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Sohella,CHHURIAPALI,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Sohella,DUMBERPALI,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Sohella,GARVANA,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Sohella,GHESS,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Sohella,Jatla,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Sohella,JHAR,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Sohella,KALANGAPALI,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Sohella,KANAPALI,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Sohella,KANGOAN,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Sohella,KARANDOLS,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Sohella,KUCHIPALI,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Sohella,LEBIDI,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Sohella,PANDKIPALI,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Sohella,PANIMURA,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Sohella,PETUPALI,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Sohella,RENGALI,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Sohella,SALEPALI,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Sohella,SANIMAL,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Sohella,SARKANDA,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Sohella,SOHELLA.,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Sohella,SRIGIDA,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Sohella,TABDA,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Sohella,TUNGIBANDHALI,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Bhatli,BHADIGAON,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Bhatli,BHATLI,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Bhatli,CHADEIGAON,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Bhatli,DAMALPALI,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Bhatli,HALUPALI,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Bhatli,HATISAR,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Bhatli,KAMGAON,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Bhatli,KASHAIPALI,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Bhatli,KELENDUPALI,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Bhatli,KHARMUNDA.,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Bhatli,MULBAR,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Bhatli,NARANGPUR,,,,,,Baragarh,1,Bargarh,
5,5 Bhatli,Bhatli,NUAGARH,,,,,,Baragarh,1,Bargarh,
